Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization_Below1GeV FluxNormalization_Above1GeV X2 
0.304 0.022 0.32166666666666666 7.42e-05 0.00205 4.014 normal 0.9585983444191617 0.9788329378760214 64.3889356408321
0.304 0.022 0.32166666666666666 7.42e-05 0.002 4.014 normal 0.9579522459691225 0.9785067280718563 65.75272334394978
0.304 0.022 0.32166666666666666 7.42e-05 0.0021 4.014 normal 0.9600197766656844 0.9790598395414272 62.78888708879189
0.304 0.022 0.32166666666666666 7.42e-05 0.0023 4.014 normal 0.9638785717936986 0.9802002132890179 58.6716545545925
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 4.014 normal 0.9681052329964978 0.9814688515026343 55.4244173157571
0.304 0.022 0.32166666666666666 7.42e-05 0.0022 4.014 normal 0.9623253500808938 0.9793846981842919 60.83868245322607
0.304 0.022 0.32166666666666666 7.42e-05 0.00235 4.014 normal 0.9646486602137357 0.9805480614606401 57.866847300522
0.304 0.022 0.32166666666666666 7.42e-05 0.00215 4.014 normal 0.960759073487925 0.9792440152758721 61.77177562407022
0.304 0.022 0.32166666666666666 7.42e-05 0.0024000000000000002 4.014 normal 0.9657621728284945 0.9808843178358625 56.99743775573363
0.304 0.022 0.32166666666666666 7.42e-05 0.0022500000000000003 4.014 normal 0.9624328077050708 0.9798135720294412 60.053188325110256
0.304 0.022 0.32166666666666666 7.42e-05 0.00245 4.014 normal 0.9668757794975885 0.9812009031331581 56.328706389566385
0.304 0.022 0.32166666666666666 7.42e-05 0.0029000000000000002 4.014 normal 0.9757535244696421 0.9840686785613436 57.0511467597082
0.304 0.022 0.32166666666666666 7.42e-05 0.00265 4.014 normal 0.9703503146604603 0.9830826021522342 55.03698461891754
0.304 0.022 0.32166666666666666 7.42e-05 0.0027 4.014 normal 0.9714598533740257 0.9831223628213861 55.72474767814988
0.304 0.022 0.32166666666666666 7.42e-05 0.0026 4.014 normal 0.9698525754343137 0.9826429089712471 54.73879847395846
0.304 0.022 0.32166666666666666 7.42e-05 0.0028 4.014 normal 0.9733131909649174 0.9833785913775147 56.78927073887098
0.304 0.022 0.32166666666666666 7.42e-05 0.00255 4.014 normal 0.9686617034858804 0.9819943979059017 55.25443991123249
0.304 0.022 0.32166666666666666 7.42e-05 0.00285 4.014 normal 0.9740287709406305 0.9838664127781253 56.34052196051338
0.304 0.022 0.32166666666666666 7.42e-05 0.00275 4.014 normal 0.9721301237404197 0.9832060035318428 56.40994538831279
0.304 0.022 0.32166666666666666 7.42e-05 0.003 4.014 normal 0.9776953011350561 0.9847015201256994 57.72130914724954
0.304 0.022 0.32166666666666666 7.42e-05 0.00295 4.014 normal 0.9766626977602573 0.9844243073315947 57.513603556549846
0.304 0.022 0.3383333333333333 7.42e-05 0.00205 4.014 normal 0.9633678951584458 0.9834044121135407 48.3278320103933
0.304 0.022 0.3383333333333333 7.42e-05 0.0022 4.014 normal 0.9671937377273689 0.9840088542446036 44.81713434861506
0.304 0.022 0.3383333333333333 7.42e-05 0.0021 4.014 normal 0.9648257739732721 0.9836496876996687 46.74681941373173
0.304 0.022 0.3383333333333333 7.42e-05 0.002 4.014 normal 0.9627129678724614 0.983056324128591 49.68802196811395
0.304 0.022 0.3383333333333333 7.42e-05 0.00215 4.014 normal 0.965586080703284 0.9838525399364969 45.67465399234924
0.304 0.022 0.3383333333333333 7.42e-05 0.0022500000000000003 4.014 normal 0.967310918644312 0.9844591518039906 44.02183326563745
0.304 0.022 0.3383333333333333 7.42e-05 0.0023 4.014 normal 0.9688031122636707 0.984866264570139 42.82097093879648
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 4.014 normal 0.9731463629626147 0.9862099014372365 39.87970615464056
0.304 0.022 0.3383333333333333 7.42e-05 0.00255 4.014 normal 0.9737269988484364 0.9867570569857125 39.8964272511102
0.304 0.022 0.3383333333333333 7.42e-05 0.00245 4.014 normal 0.9718907271384877 0.9859257620140288 40.68917035459875
0.304 0.022 0.3383333333333333 7.42e-05 0.00235 4.014 normal 0.9696065376288113 0.9852326512101551 42.04686726548157
0.304 0.022 0.3383333333333333 7.42e-05 0.0024000000000000002 4.014 normal 0.9707392584160706 0.9855912752261837 41.25977871091977
0.304 0.022 0.3383333333333333 7.42e-05 0.00265 4.014 normal 0.9754555028991151 0.9878928898188415 40.122960397935145
0.304 0.022 0.3383333333333333 7.42e-05 0.0026 4.014 normal 0.9749380498449528 0.9874348254395898 39.696900423585085
0.304 0.022 0.3383333333333333 7.42e-05 0.00295 4.014 normal 0.9818836395187149 0.9893637583029856 43.48784951535657
0.304 0.022 0.3383333333333333 7.42e-05 0.003 4.014 normal 0.9829442040918225 0.9896568371258053 43.89811199142886
0.304 0.022 0.3383333333333333 7.42e-05 0.00285 4.014 normal 0.9792369927674155 0.9887286799629956 42.06384353828653
0.304 0.022 0.3383333333333333 7.42e-05 0.00275 4.014 normal 0.977285997775206 0.9880342059095302 41.64100312872035
0.304 0.022 0.355 7.42e-05 0.002 4.014 normal 0.9671002036198394 0.987109336982714 37.54660592392784
0.304 0.022 0.3383333333333333 7.42e-05 0.0028 4.014 normal 0.9785042169769052 0.9882196515916772 42.242019069859786
0.304 0.022 0.3383333333333333 7.42e-05 0.0029000000000000002 4.014 normal 0.9805387890855658 0.989113663441243 42.87466698743449
0.304 0.022 0.3383333333333333 7.42e-05 0.0027 4.014 normal 0.9765996638586728 0.9879418363869161 40.882452837647364
