Energy sigmaCC sigmaNC
26.6595 8.65846 3.20674
26.7846 8.69858 3.22128
26.9097 8.7387 3.23582
27.0349 8.77882 3.25037
27.16 8.81895 3.26491
27.2851 8.85909 3.27946
27.4102 8.89923 3.294
27.5353 8.93938 3.30855
27.6604 8.97954 3.3231
27.7856 9.01971 3.33764
27.9107 9.05989 3.35218
28.0358 9.10008 3.36673
28.1609 9.14028 3.38127
28.286 9.18048 3.39581
28.4111 9.2207 3.41035
28.5362 9.26092 3.42489
28.6614 9.30115 3.43944
28.7865 9.34139 3.45398
28.9116 9.38164 3.46852
29.0367 9.4219 3.48306
29.1618 9.46215 3.4976
29.2869 9.50242 3.51214
29.4121 9.54269 3.52668
29.5372 9.58296 3.54122
29.6623 9.62324 3.55576
29.7874 9.66352 3.5703
29.9125 9.70381 3.58484
30.0376 9.7441 3.59939
30.1627 9.78439 3.61393
30.2879 9.82468 3.62848
30.413 9.86498 3.64302
30.5381 9.90528 3.65757
30.6632 9.94559 3.67212
30.7883 9.98589 3.68666
30.9134 10.0262 3.70121
31.0385 10.0665 3.71576
31.1637 10.1068 3.73031
31.2888 10.1471 3.74486
31.4139 10.1875 3.75942
31.539 10.2278 3.77398
31.6641 10.2681 3.78853
31.7892 10.3085 3.80309
31.9144 10.3488 3.81764
32.0395 10.3891 3.8322
32.1646 10.4295 3.84675
32.2897 10.4698 3.8613
32.4148 10.5102 3.87586
32.5399 10.5505 3.89043
32.665 10.5909 3.90501
32.7902 10.6312 3.91961
32.9153 10.6716 3.93422
33.0404 10.712 3.94884
33.1655 10.7524 3.96346
33.2906 10.7928 3.97808
33.4157 10.8332 3.9927
33.5409 10.8736 4.00731
33.666 10.914 4.02191
33.7911 10.9544 4.03649
33.9162 10.9948 4.05106
34.0413 11.0353 4.06561
34.1664 11.0757 4.08013
34.2915 11.1161 4.09463
34.4167 11.1566 4.10913
34.5418 11.197 4.12364
34.6669 11.2375 4.13817
34.792 11.2779 4.15273
34.9171 11.3184 4.16734
35.0422 11.3589 4.18198
35.1673 11.3993 4.19664
35.2925 11.4398 4.21129
35.4176 11.4803 4.22593
35.5427 11.5208 4.24054
35.6678 11.5613 4.25511
35.7929 11.6017 4.26964
35.918 11.6422 4.28415
36.0432 11.6827 4.29865
36.1683 11.7232 4.31316
36.2934 11.7638 4.32768
36.4185 11.8044 4.34222
36.5436 11.8449 4.35679
36.6687 11.8854 4.37137
36.7938 11.9258 4.38596
36.919 11.9661 4.40056
37.0441 12.0065 4.41516
37.1692 12.0469 4.42976
37.2943 12.0876 4.44435
37.4194 12.1285 4.45894
37.5445 12.1698 4.47352
37.6696 12.2113 4.4881
37.7948 12.2528 4.50269
37.9199 12.2941 4.51727
38.045 12.335 4.53186
38.1701 12.3753 4.54645
38.2952 12.4152 4.56104
38.4203 12.4548 4.57563
38.5455 12.4944 4.59022
38.6706 12.5341 4.60481
38.7957 12.5741 4.61941
38.9208 12.6145 4.634
39.0459 12.6551 4.64859
39.171 12.6959 4.66319
39.2961 12.7367 4.67778
39.4213 12.7774 4.69238
39.5464 12.8181 4.70697
39.6715 12.8587 4.72157
39.7966 12.8993 4.73616
39.9217 12.9398 4.75076
40.0468 12.9804 4.76536
40.172 13.021 4.77996
40.2971 13.0617 4.79455
40.4222 13.1023 4.80915
40.5473 13.143 4.82375
40.6724 13.1837 4.83835
40.7975 13.2243 4.85295
40.9226 13.265 4.86755
41.0478 13.3057 4.88215
41.1729 13.3464 4.89675
41.298 13.387 4.91135
41.4231 13.4277 4.92596
41.5482 13.4684 4.94056
41.6733 13.5091 4.95517
41.7984 13.5498 4.96977
41.9236 13.5905 4.98437
42.0487 13.6312 4.99897
42.1738 13.6719 5.01357
42.2989 13.7126 5.02816
42.424 13.7533 5.04275
42.5491 13.794 5.05734
42.6743 13.8347 5.07193
42.7994 13.8754 5.08652
42.9245 13.9161 5.10111
43.0496 13.9568 5.11571
43.1747 13.9975 5.13031
43.2998 14.0382 5.14492
43.4249 14.0789 5.15952
43.5501 14.1196 5.17413
43.6752 14.1603 5.18874
43.8003 14.201 5.20335
43.9254 14.2417 5.21796
44.0505 14.2824 5.23256
44.1756 14.3232 5.24716
44.3008 14.3639 5.26176
44.4259 14.4046 5.27636
44.551 14.4453 5.29095
44.6761 14.486 5.30555
44.8012 14.5268 5.32015
44.9263 14.5675 5.33476
45.0514 14.6082 5.34937
45.1766 14.649 5.36398
45.3017 14.6897 5.37859
45.4268 14.7304 5.39321
45.5519 14.7712 5.40782
45.677 14.8119 5.42244
45.8021 14.8527 5.43706
45.9272 14.8934 5.45168
46.0524 14.9342 5.4663
46.1775 14.975 5.48092
46.3026 15.0158 5.49554
46.4277 15.0565 5.51015
46.5528 15.0973 5.52477
46.6779 15.1381 5.53939
46.8031 15.1789 5.55402
46.9282 15.2197 5.56864
47.0533 15.2605 5.58326
47.1784 15.3013 5.59788
47.3035 15.3421 5.61251
47.4286 15.3829 5.62713
47.5537 15.4237 5.64176
47.6789 15.4645 5.65639
47.804 15.5054 5.67101
47.9291 15.5462 5.68564
48.0542 15.587 5.70027
48.1793 15.6279 5.71489
48.3044 15.6687 5.72952
48.4295 15.7095 5.74415
48.5547 15.7504 5.75877
48.6798 15.7912 5.7734
48.8049 15.8321 5.78803
48.93 15.8729 5.80267
49.0551 15.9138 5.8173
49.1802 15.9546 5.83193
49.3054 15.9955 5.84656
49.4305 16.0364 5.8612
49.5556 16.0772 5.87583
49.6807 16.1181 5.89046
49.8058 16.159 5.90509
49.9309 16.1998 5.91972
50.056 16.2407 5.93435
50.1812 16.2816 5.94898
50.3063 16.3225 5.9636
50.4314 16.3634 5.97823
50.5565 16.4043 5.99285
50.6816 16.4452 6.00748
50.8067 16.486 6.0221
50.9319 16.5269 6.03672
51.057 16.5678 6.05134
51.1821 16.6087 6.06596
51.3072 16.6496 6.08058
51.4323 16.6906 6.09521
51.5574 16.7315 6.10983
51.6825 16.7724 6.12445
51.8077 16.8133 6.13907
51.9328 16.8542 6.15369
52.0579 16.8951 6.16831
52.183 16.936 6.18293
52.3081 16.977 6.19755
52.4332 17.0179 6.21218
52.5583 17.0588 6.2268
52.6835 17.0997 6.24142
52.8086 17.1407 6.25604
52.9337 17.1816 6.27066
53.0588 17.2225 6.28528
53.1839 17.2635 6.2999
53.309 17.3044 6.31453
53.4342 17.3453 6.32915
53.5593 17.3863 6.34378
53.6844 17.4272 6.3584
53.8095 17.4682 6.37303
53.9346 17.5091 6.38765
54.0597 17.5501 6.40228
54.1848 17.591 6.41691
54.31 17.632 6.43153
54.4351 17.6729 6.44616
54.5602 17.7139 6.46079
54.6853 17.7548 6.47543
54.8104 17.7958 6.49006
54.9355 17.8367 6.50469
55.0607 17.8777 6.51932
55.1858 17.9187 6.53396
55.3109 17.9596 6.54859
55.436 18.0006 6.56323
55.5611 18.0416 6.57786
55.6862 18.0826 6.5925
55.8113 18.1235 6.60714
55.9365 18.1645 6.62178
56.0616 18.2055 6.63642
56.1867 18.2465 6.65106
56.3118 18.2875 6.6657
56.4369 18.3285 6.68034
56.562 18.3695 6.69498
56.6871 18.4104 6.70963
56.8123 18.4514 6.72427
56.9374 18.4924 6.73891
57.0625 18.5334 6.75356
57.1876 18.5745 6.76821
57.3127 18.6155 6.78285
57.4378 18.6565 6.7975
57.563 18.6975 6.81215
57.6881 18.7385 6.8268
57.8132 18.7795 6.84145
57.9383 18.8205 6.8561
58.0634 18.8616 6.87075
58.1885 18.9026 6.8854
58.3136 18.9436 6.90005
58.4388 18.9846 6.9147
58.5639 19.0257 6.92936
58.689 19.0667 6.94401
58.8141 19.1078 6.95866
58.9392 19.1488 6.97332
59.0643 19.1898 6.98797
59.1894 19.2309 7.00263
59.3146 19.2719 7.01729
59.4397 19.313 7.03194
59.5648 19.3541 7.0466
59.6899 19.3951 7.06126
59.815 19.4362 7.07592
59.9401 19.4772 7.09057
60.0653 19.5183 7.10523
60.1904 19.5594 7.11989
60.3155 19.6004 7.13455
60.4406 19.6415 7.14921
60.5657 19.6826 7.16387
60.6908 19.7236 7.17853
60.8159 19.7647 7.19319
60.9411 19.8058 7.20786
61.0662 19.8469 7.22252
61.1913 19.8879 7.23718
61.3164 19.929 7.25184
61.4415 19.9701 7.2665
61.5666 20.0112 7.28117
61.6918 20.0523 7.29583
61.8169 20.0934 7.31049
61.942 20.1344 7.32516
62.0671 20.1755 7.33982
62.1922 20.2166 7.35448
62.3173 20.2577 7.36915
62.4424 20.2988 7.38381
62.5676 20.3399 7.39847
62.6927 20.381 7.41314
62.8178 20.4221 7.4278
62.9429 20.4632 7.44247
63.068 20.5043 7.45713
63.1931 20.5454 7.4718
63.3182 20.5865 7.48646
63.4434 20.6277 7.50113
63.5685 20.6688 7.5158
63.6936 20.7099 7.53046
63.8187 20.751 7.54513
63.9438 20.7921 7.55979
64.0689 20.8332 7.57446
64.1941 20.8743 7.58912
64.3192 20.9155 7.60378
64.4443 20.9566 7.61845
64.5694 20.9977 7.63311
64.6945 21.0388 7.64777
