theta23, m31
0.36798143851508125, 2.3059533233246894
0.36798143851508125, 2.3318356762658654
0.3684454756380511, 2.3506755834584414
0.3703016241299304, 2.378976388699331
0.3721577726218098, 2.400218370410809
0.37447795823665897, 2.416770847550157
0.3767981438515081, 2.435676265865975
0.38004640371229703, 2.452261498566944
0.382830626450116, 2.4664774123106317
0.3860788863109049, 2.4783567626586596
0.3897911832946636, 2.49731131431691
0.39396751740139213, 2.5068704790500886
0.3981438515081207, 2.5187825849597374
0.40185614849187934, 2.5283253719121057
0.4055684454756381, 2.535515217688003
0.4097447795823666, 2.5450743824211814
0.4139211136890951, 2.5522806059778897
0.4185614849187935, 2.5595032073154087
0.42366589327146176, 2.566742186433738
0.42877030162412993, 2.571628224375597
0.4338747099767981, 2.5765142623174557
0.44083526682134566, 2.5814658113825573
0.4464037122969837, 2.5887211682816975
0.4519721577726218, 2.588917701651426
0.4580046403712297, 2.5914835539784358
0.4631090487238979, 2.594016650743824
0.4691415313225058, 2.5965825030708336
0.47424593967517403, 2.5967626586597516
0.4802784222737819, 2.6016814521632314
0.48538283062645005, 2.6018616077521495
0.49002320185614845, 2.604378326736727
0.4955916473317865, 2.6045748601064553
0.5006960556844547, 2.604755015695373
0.505800464037123, 2.607288112460761
0.5109048723897912, 2.61217415040262
0.5155452436194895, 2.612337928210727
0.5211136890951276, 2.6125344615804558
0.5271461716937355, 2.6127473727309947
0.5322505800464037, 2.615280469496383
0.5368909512761021, 2.61544424730449
0.54245939675174, 2.6179937218506892
0.5470997679814384, 2.618157499658796
0.5531322505800463, 2.618370410809335
0.5596287703016241, 2.618599699740685
0.5651972157772621, 2.6164432919339426
0.5716937354988398, 2.614319639688822
0.5767981438515081, 2.6121468541012693
0.5823665893271461, 2.609990446294527
0.588399071925754, 2.605497475092125
0.5930394431554524, 2.603308311723761
0.5976798143851508, 2.594060324825986
0.602784222737819, 2.5895345980619626
0.608352668213457, 2.580319366725808
0.6129930394431554, 2.5687184386515627
0.6180974477958235, 2.552428006005186
0.6222737819025521, 2.5384577589736588
0.625522041763341, 2.5244547563805106
0.62877030162413, 2.508098812610891
0.6315545243619489, 2.4893735498839904
0.6343387470997679, 2.473001228333561
0.636658932714617, 2.4495537054729084
0.6385150812064965, 2.426089804831445
0.6394431554524361, 2.4002402074518905
0.6394431554524361, 2.3743578545107136
0.639907192575406, 2.346138938173877
0.6389791183294663, 2.3178708884946086
0.6375870069605567, 2.2919394022110007
0.6357308584686775, 2.265991538146581
0.6324825986078886, 2.2423474819162
0.6292343387470997, 2.225762249215231
0.625522041763341, 2.206807697556981
0.6222737819025521, 2.190222464856012
0.6185614849187935, 2.1736208543742324
0.6143851508120649, 2.1593558072881125
0.6097447795823665, 2.147427323597652
0.6041763341067284, 2.1354660843455715
0.6004640371229698, 2.1212174150402623
0.5958236658932714, 2.1116418725262722
0.591183294663573, 2.1067722123652244
0.5856148491879349, 2.099516855466084
0.5805104408352667, 2.087571993994813
0.5754060324825986, 2.0803330148764845
0.5703016241299304, 2.075446976934625
0.5651972157772621, 2.0705609389927666
0.5591647331786542, 2.065642145489286
0.5526682134570765, 2.0630599153814657
0.5461716937354988, 2.0604776852736455
0.5406032482598607, 2.0555752695509755
0.5354988399071925, 2.053042172785587
0.5294663573085847, 2.0504763204585776
0.5243619489559165, 2.05029616486966
0.5187935034802784, 2.0453937491469905
0.5127610208816705, 2.045180837996451
0.5071925754060325, 2.042631363450252
0.5011600928074246, 2.042418452299713
0.4955916473317865, 2.0445748601064553
0.48863109048723896, 2.0419762522178244
0.48399071925754056, 2.0465183567626584
0.47935034802784227, 2.0440016377780807
0.47424593967517403, 2.043821482189163
0.4663573085846867, 2.043543059915381
0.46032482598607893, 2.0456830899413125
0.4533642691415314, 2.0454374232291523
0.44686774941995366, 2.0499140166507437
0.44083526682134566, 2.052054046676675
0.43619489559164737, 2.0565961512215094
0.4320185614849188, 2.0588016923706833
0.42737819025522045, 2.0633437969155177
0.4222737819025522, 2.0702224648560117
0.4180974477958237, 2.0747809471816567
0.41299303944315546, 2.0816596151221507
0.4083526682134571, 2.0885546608434558
0.4032482598607889, 2.1001392111368906
0.3981438515081207, 2.1093708202538552
0.39396751740139213, 2.120988126108912
0.3902552204176334, 2.1349747509212498
0.3860788863109049, 2.144239115599836
0.382830626450116, 2.160595059369455
0.3791183294663574, 2.1769346253582635
0.3767981438515081, 2.190970383513034
0.37401392111368914, 2.2073427050634633
0.37169373549883994, 2.2237314043947043
0.3703016241299304, 2.2495646239934484
0.36937354988399074, 2.2636495154906506
0.3684454756380511, 2.277734406987853
