Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization_Below1GeV FluxNormalization_Above1GeV FluxTilt NuNuBarRatio FlavorRatio ZenithFluxUp ZenithFluxDown IceAbsorption IceScattering OptEffHeadon OptEffLateral OptEffOverall CoinFraction XSecNuTau NCoverCC NCHad DIS CCQE CCQENuBarNu CCQEMuE CC1Pi_Pi0Pi CC1Pi_NuBarNuE CC1Pi_NuBarNuMu CC1PiProduction CohPiProduction AxialMass X2 
0.304 0.022 0.30500 0.0000742 0.0023500 4.140 normal 1.0 0.9996428441006747 -0.008762153976256832 1.0168893096512013 0.9992721981292749 0.005169413232613799 -0.04136133162476621 0.9879530846578511 0.9879530846578511 -0.007254390803430695 24.992745679266402 0.9879530846578511 -0.012046915342149463 1.0088426630992622 1.0018276327629982 1.0088445756302529 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1214292495513087 172.13
0.304 0.022 0.30500 0.0000742 0.0023000 4.140 normal 1.0 1.0013629549238092 -0.005709861261244645 1.0173547030026988 0.9992063662380076 0.004984287334683486 -0.03811700986727167 0.9899803803138777 0.9899803803138777 -0.004843431064638962 24.995156613375347 0.9899803803138777 -0.010019619686122652 1.0048175597878228 1.000497345423211 1.007401787103762 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.122231282481905 195.96
0.304 0.022 0.30500 0.0000742 0.0020000 4.140 normal 1.0 1.007493861798284 -0.0037025542685687196 1.0187935694945196 0.9951736270423327 0.002002600873807825 -0.0336214037526361 0.9847757309926877 0.9847757309926877 0.006805921825171908 25.0068058063224 0.9847757309926877 -0.015224269007312873 0.9882864239930493 0.9885663449379083 1.0000079540405267 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1367804042228289 437.09
0.304 0.022 0.30500 0.0000742 0.0020500 4.140 normal 1.0 1.0064835470886966 -0.004331926945499074 1.0187417790486857 0.9957205302614545 0.002296357013647405 -0.03507527875557321 0.985735808093362 0.985735808093362 0.004877441332988063 25.00487735144413 0.985735808093362 -0.014264191906638387 0.9901349366983024 0.9901865744812253 1.001331473850542 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1343486516469332 381.74
0.304 0.022 0.30500 0.0000742 0.0021500 4.140 normal 1.0 1.004893350767171 -0.004572907844915023 1.017715094074008 0.996933160711051 0.0037383418730770474 -0.035044861846635286 0.9871300813800366 0.9871300813800366 0.0008517449474544909 25.000851710149657 0.9871300813800366 -0.012869918619963887 0.9951670389295176 0.9941367388346889 1.0026033691258478 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1273082341938057 288.80
0.304 0.022 0.30500 0.0000742 0.0022000 4.140 normal 1.0 1.0041319994750464 -0.004560347439633169 1.017177533465624 0.9975400184930787 0.004424211852857161 -0.03529918490385445 0.9883318967495643 0.9883318967495643 -0.001165401867469472 24.998834590833738 0.9883318967495643 -0.011668103250435716 0.9981036014516765 0.9960612734749058 1.0033027830462462 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1243534524675791 253.59
0.304 0.022 0.30500 0.0000742 0.0021000 4.140 normal 1.0 1.005615885977484 -0.004622768097347183 1.0183820299324486 0.9962932993034483 0.002912817570427051 -0.035265819175422985 0.9864519952986585 0.9864519952986585 0.0027866271881097655 25.002786565292755 0.9864519952986585 -0.013548004701341624 0.9924956326348203 0.9921244841941006 1.0020843028471778 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.130912068825057 331.56
0.304 0.022 0.30500 0.0000742 0.0022500 4.140 normal 1.0 1.0031152627966824 -0.004865591578756371 1.0170947443304443 0.9981167456062333 0.004785506609054765 -0.036607465614128865 0.9894740010482486 0.9894740010482486 -0.003102375771813029 24.99689764301797 0.9894740010482486 -0.010525998951751747 1.001229698419918 0.9979373580353236 1.0048005712760397 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1228436359321738 222.74
0.304 0.022 0.30500 0.0000742 0.0024000 4.140 normal 1.0 1.0099510234557163 -0.006469241546720383 1.0105038136720055 0.9861127772421204 0.005417852985176275 -0.052222700144339634 0.9889407164279451 0.9889407164279451 -0.004103891161801956 24.995896109706624 0.9889407164279451 -0.01105928357205493 1.006502800982221 0.9841515660450912 0.991984628844008 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1093729600448046 143.27
0.304 0.022 0.30500 0.0000742 0.0024500 4.140 normal 1.0 1.011097891988796 -0.006829942937592144 1.0077849814584672 0.9840062294388576 0.005821701026797984 -0.04801833689337091 0.9868675118846649 0.9868675118846649 -0.006629232400239667 24.993370827617575 0.9868675118846649 -0.013132488115333619 1.0203089375262677 0.9854538456380396 0.9923443937102422 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1059060211434908 124.36
