DCP Xi
0.0 4.070863063827584
0.369411764705882 4.422351088010787
0.738823529411765 4.410597310874949
1.108235294117647 3.928652580767976
1.47764705882353 2.863200091431942
1.847058823529412 1.9933237534724768
2.216470588235294 1.2478380678538064
2.585882352941176 0.7039167172788255
2.955294117647059 0.3568952985091775
3.324705882352942 0.1616699883943582
3.694117647058824 0.0538090736872708
4.063529411764706 0.0121013715895725
4.432941176470589 0.1553406931066597
4.802352941176471 0.5535569051792607
5.171764705882353 1.0996002961006148
5.541176470588236 2.095455083670437
5.910588235294118 3.1615030606669507
6.28 4.096490508406775
