Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization_Below1GeV FluxTilt NuNuBarRatio FlavorRatio ZenithFluxUp ZenithFluxDown SKEnergyScale FCPCSeparation FCReduction FiducialVolume PCReduction SubGeV2ringPi0 SubGeV1ringPi0 MultiRing_NuNuBarSeparation MultiRing_EOtherSeparation PC_StopThruSeparation Pi0_RingSeparation E_RingSeparation Mu_RingSeparation SingleRing_PID MultiRing_PID DecayETagging SKIV_SKEnergyScale SKIV_FCPCSeparation SKIV_FiducialVolume SKIV_FCReduction SKIV_PCReduction SKIV_SubGeV2ringPi0 SKIV_SubGeV1ringPi0 SKIV_MultiRing_NuNuBarSeparation SKIV_MultiRing_EOtherSeparation SKIV_PC_StopThruSeparation SKIV_Pi0_RingSeparation SKIV_E_RingSeparation SKIV_Mu_RingSeparation SKIV_SingleRing_PID SKIV_MultiRing_PID SKIV_DecayETagging SKIV_NeutronTagging SKGd_FCPCSeparation SKGd_FiducialVolume SKGd_FCReduction SKGd_PCReduction SKGd_SubGeV2ringPi0 SKGd_SubGeV1ringPi0 SKGd_MultiRing_NuNuBarSeparation SKGd_MultiRing_EOtherSeparation SKGd_PC_StopThruSeparation SKGd_Pi0_RingSeparation SKGd_E_RingSeparation SKGd_Mu_RingSeparation SKGd_SingleRing_PID SKGd_MultiRing_PID SKGd_DecayETagging SKGd_NeutronTagging XSecNuTau NCoverCC NCHad DIS CCQE CCQENuBarNu CCQEMuE CC1Pi_Pi0Pi CC1Pi_NuBarNuE CC1Pi_NuBarNuMu CC1PiProduction CohPiProduction AxialMass X2 
0.304 0.022 0.57342 0.0000742 0.0025000 4.140 normal 1.0000237437601136 -3.0719125689979353e-06 1.000055725687519 1.0000007246669458 -2.1624713016777384e-05 -6.28763294143278e-05 1.0 1.0000193404776032 1.0000010172124632 1.0000226010743594 1.000019879844542 1.0000209914328595 1.0000260790311148 1.0000008240401361 1.0000035833849903 0.9999855885785179 1.0000003868026102 0.9999800932312749 1.000043398903543 0.9999847927737808 0.9999949000779839 1.0000362032049523 1.0 1.0000002135006658 1.0000244589431013 1.0000199212317757 1.0000038431451181 1.0000220858197695 1.0000228369680646 1.000004391372224 0.9999979660866394 0.9999830369271963 1.0000020582141855 0.9999288474303072 1.0000345736123502 0.999990748178965 0.9999962373140672 1.0003269774606578 1.0000001566500984 1.0000001588734475 1.0000231309225578 1.0000178850113248 1.0000028658464444 1.0000183260726065 1.000021181221544 0.9999991403954667 1.000003110749566 0.9999921753572701 1.000001416868773 0.999922567217498 1.0000328204627507 0.9999911310707252 0.9999972061903016 1.0003124997212753 0.9999988000665101 1.0003240830994713 1.0000656467525653 1.0000634029659197 1.000059491589956 1.000030657007198 1.0001106389706158 1.000084598195502 1.000270424419937 1.0000699717754848 1.00026996583518 1.0000778288419765 1.0016629336288883 1.0001056601127 0.01
0.304 0.022 0.41553 0.0000742 0.0029500 4.140 normal 0.9997222602212542 -0.0007135382958381034 0.9986163666643677 1.0004495284970882 0.0012600477454119976 0.000317488121482462 1.0 0.9991672459009331 1.0000956592421968 0.9996086025370173 1.0042321665611367 0.9990291988579406 1.000212642051942 1.0003971886070633 0.9954288916718723 0.9948508358993567 1.000476087687097 1.002247619048736 0.9981689920503237 1.000458422163587 0.9998178418501259 0.9975793189632233 1.0 1.0000018341058037 0.9993481459328346 0.9992599476294909 1.0005627223364728 0.9997817908989514 0.9991785660135712 0.9995233653037325 0.9966447391209874 0.9987310773140635 0.9999156478641156 1.002513112118125 0.9985511555822242 1.000359255466964 0.9999928373291385 0.9898577654232136 1.0000351005677726 0.9999960059750262 0.999529655557235 0.9995007438001319 1.0004403733608631 0.9994509821689792 0.9997538826769986 1.0000148636998687 0.9965754447655908 0.9909490382630559 0.9999908262343369 1.0024459094205036 0.9986215616168499 1.0005922066390818 0.9996456209359793 0.9979641661182582 1.0002421594993056 0.9869281619877829 0.997537318782674 0.9976211970903492 0.9981144613602893 0.9996185726817284 0.9970844599105674 0.996719834196343 0.9932446080700952 0.9937886900089454 0.9958438797884145 0.9978781769307464 0.9475083667923384 0.9964872243239906 17.27
0.304 0.022 0.57342 0.0000742 0.0025500 4.140 normal 0.9999583038737689 -4.923911503512805e-07 0.9998832046650359 1.0000004143771164 6.93150838091917e-05 5.3118749921638414e-05 1.0 0.999964613758117 1.0000055587505865 0.999958957666444 0.9999670206568617 0.9998920731278009 0.9998963105556066 0.9998670893990202 0.9999703307459907 1.0000520510489521 1.0000032704905568 1.000005160771883 0.9999329874938628 1.0000169425292937 1.0000654191951035 0.999957477787313 1.0 1.0000000755246272 0.9999657207312662 0.9999832071769384 0.9999820973925552 1.0010360653947374 0.9998146788829873 1.000002653384567 0.9998892394469313 1.0000835990042793 0.9999801949124869 1.000038386945112 0.9999304393723947 1.000017435672707 1.0000038688231938 0.9996229496035894 0.9998828018046805 0.9999995733358898 0.9999281628257752 0.9999391040828767 0.999997871526488 0.9998685337059392 1.0002305296526006 0.9999072880990125 1.0002305395471476 1.000119431419654 1.0000251674215388 1.0000742767287245 0.9999298532010128 1.0000170069797762 1.000042517995557 0.9994123151637322 1.0000083778811866 1.004798141448077 0.9998698610844974 0.9998741547144422 0.9998975721957777 0.9999268496350247 0.9997431962605867 0.9998331030620472 0.9994945587572496 0.9999440218684021 0.9993908246285651 0.9998546623083683 0.9964530639782433 0.9998775594891074 0.91
0.304 0.022 0.52605 0.0000742 0.0023000 4.140 normal 1.0007816534557779 -0.0007607575107909 0.999733472252951 1.0002145733376744 -0.002997516474623031 0.004533421378297177 1.0 0.9998395992491642 1.0000082157383046 1.000029485098129 1.0003132644605868 0.9982254523920856 1.0035302831531483 1.0004342371936314 1.0003936302262713 0.9981383379523884 1.000099729989864 1.0001972738266494 0.999759842277238 1.000027644510306 0.9999801519760811 0.9984807068586811 1.0 0.9999999175205141 1.0001067823680274 1.0000358590740872 1.0000051999774522 1.0022385459514456 1.000020480449309 0.9998832383084922 0.9997727760876801 0.9996702578079707 0.9999991128168486 1.0002372634877117 0.9999376869950356 1.0000102831933555 0.9999672681674363 0.9996516157515795 1.0000166420050633 0.9999999805464173 1.000059264576424 1.0000098435756104 1.000059443732394 0.9999548151222559 1.0002803658530905 1.0004311451933787 1.0005348711637063 0.9978709311021631 1.0000208040510354 1.0001631423609216 0.9998482171030624 1.0000361383140453 0.9999897781575651 0.9995706296645931 1.0008588427755398 0.9397426141238281 0.9997421693634384 0.9997518636471479 0.9998150851444689 1.0003545143019434 1.0003745980388925 0.9998252236200648 0.987531922001246 0.9938142021653574 0.9989078191569102 0.997734890793154 0.9675274445178388 0.996954776845258 4.38
0.304 0.022 0.43132 0.0000742 0.0025000 4.140 normal 1.0012441677583246 -0.0012651460855860638 1.000202133319239 1.000155027514706 -0.00037364974414468976 3.2667563780003347e-06 1.0 0.9993518841842182 0.9999832052123142 1.0001005985176243 1.0035574904440987 0.9999421256932104 0.9998524939228863 1.0000002699932813 0.9958237461710964 0.9944519319223114 1.0000027210185276 1.0005440308326874 0.998937924096452 1.0000549694221976 0.9996515929583458 0.9954791248865712 1.0 0.9999995847940274 1.0001690560901697 0.99988728974215 1.0007505825576233 0.9999492797182699 0.9999554364238337 0.9983674350411983 0.9984252313148931 0.9945920765011644 1.000004900006481 1.000495331353231 0.9990415673203406 1.0001376193302878 0.9998134185249301 0.9989008783726959 1.0000716720500638 0.9999995797154515 1.0001852550137111 0.9999909619249828 1.0005806696324682 0.9999387424864244 1.0000032683246678 1.0005055493839319 0.9968938224197873 0.9954524397988193 1.0000036945301367 1.00048159894739 0.9991469141719238 1.0001360006273692 0.9996381570511558 0.9989623138393117 1.0001928377337583 0.9228762474304234 0.9962312282807692 0.9963660687264231 0.9968174561845918 1.0008572703375054 1.0013993821918767 0.9984385138915916 0.9886314810198648 0.975572979995229 1.0109393085377394 0.9976203591260535 0.9536777551609252 0.9952196349884985 5.24
0.304 0.022 0.44711 0.0000742 0.0029000 4.140 normal 0.999246468668331 -0.0014082092245563307 0.9978511981959514 1.00012393089972 0.001284429769099917 0.0015173400064573644 1.0 0.9990679330070408 1.0001816888053152 0.9995068850809303 1.000819205258185 0.9988546607312082 0.9993644925999272 1.0005116033011676 0.9967752762257881 0.9987179378068026 1.0002481739735383 1.0019675294300576 0.9977091576414446 1.0004777202435315 0.9999493014856361 0.9972186649944793 1.0 0.9999925325492732 0.9986117272622392 0.9986534028253081 1.0000838662987852 0.9989404435219541 0.9989616659660223 0.999592441184314 0.9974501321423705 1.0005246065060753 0.9998802126740814 1.002145523652555 0.9981860444614422 1.000291791345287 0.9999330292358537 0.9886897023465344 0.9997465990146682 0.9999970626180261 0.9992163765607467 0.9993117722446264 1.0000441944055092 0.9988358438379944 0.9995046937406937 0.9999950373077896 0.9995801093220311 0.9938840691186484 0.9999808556445278 1.0024401083886336 0.998246074895514 1.0005176629749037 0.9999448059451905 0.997770727152486 1.0000938521577725 0.9878315220039131 0.99644643956564 0.9965636618614967 0.9971129249328076 0.9992233053034871 0.9952639460226731 0.9955702793694069 0.9897518167516366 0.9947557005265364 0.9907579388493137 0.996820966719102 0.9264791305393754 0.9961733967794901 12.17
0.304 0.022 0.43132 0.0000742 0.0029500 4.140 normal 0.9993556589099608 -0.0011923003800769442 0.9980710940481727 1.0000503700409136 0.0014107457887613444 0.0010294094210158405 1.0 0.9990397689086638 1.0001577009041132 0.9995194847320112 1.0022365717089532 0.9987958210521337 0.999763080758572 1.0003570848075887 0.9961968912405674 0.997098761422309 1.0004516538406076 1.0022079721458441 0.9977465979097888 1.0004255593217468 0.9999588299710616 0.9972067706324117 1.0 0.9999931192037074 0.9988369758918622 0.9987947807527059 1.0001722737769263 0.9995668797944391 0.9989236242517254 0.9995434533327893 0.9971046028601184 1.0001994291230158 0.9998753301879922 1.0022882110002629 0.9982526926706458 1.0002380961946786 0.9999280592176554 0.9888174548219637 0.9998861893123967 1.00000169316016 0.9993470521871269 0.9993862060720166 1.0001737516907612 0.999265261639416 0.9995243078453947 0.9999933333137667 0.9994217037159322 0.9924858502828927 0.9999761159937907 1.0025123060645356 0.9982869638027692 1.0004880389946973 0.9999618483620073 0.9976800565025165 1.0002256104832838 0.9870521201351771 0.9968903435968984 0.9969938967948355 0.9974691263503435 0.9993481071378004 0.995680723908576 0.995762486378214 0.9907724441200989 0.994141356476177 0.9924456511123589 0.997117215646868 0.9315753326043071 0.9962868508690391 14.95
0.304 0.022 0.41553 0.0000742 0.0027000 4.140 normal 1.0018300092572308 -0.0005421904957142649 0.9994600504779021 1.0007096325313471 0.00039545141426767166 -0.0002590401118802876 1.0 0.999268064446044 0.9999135479267102 0.9997637201378792 1.003947280444291 0.9990533333482601 1.0029775657036082 0.999971730230245 0.9955901781095546 0.9943938387276452 1.0001882628299736 1.002086668974789 0.9989015107881241 1.0000175436838863 0.9997769752467437 0.9941764149015844 1.0 0.9999977139025625 0.9998427067723104 0.9996501113327779 1.000687694361244 1.0003272661110418 0.9994404526333412 0.9992901441083932 0.9981850503216778 0.9961406572472014 0.9999490325653246 1.0020847572753029 0.9990195254478009 1.0001835950579747 0.9998219154526157 0.9976710843259178 1.000264888583188 0.9999981774170942 0.9998258946383065 0.9996364647005196 1.0006342630462925 0.9996033697931114 1.0003342037573608 1.0001508616108106 0.997711941019661 0.9946416288453394 1.000034410001249 1.0020316750628853 0.999052461304337 1.0002057352210767 0.9996791362066256 0.9978380279363482 1.0004167227223753 0.9364343036012813 0.9977444357845655 0.9978217518530009 0.9982776927200862 1.0011119273136726 1.0001730070994355 0.998020223585035 0.9931817738137563 0.9742499323764483 1.003359673748247 0.9982216487474452 0.9605458892423484 0.9929037408536509 10.99
0.304 0.022 0.44711 0.0000742 0.0029500 4.140 normal 0.9989831914908246 -0.0015882244976338756 0.997738604758558 1.0001065863489191 0.0014052971253429942 0.0015924113982965465 1.0 0.9989899920117254 1.00018785087341 0.9994733666089334 1.0005600795731515 0.9986652285976295 0.9995626550260232 1.0003242067979154 0.9993432668010337 0.9990378322284406 1.0004361685132634 1.0018937902042448 0.9975526648938482 1.000542542283007 0.9999789835736259 0.9970410489923631 1.0 1.0000011412155365 0.9984993083226074 0.9985504663532384 1.0000852852903221 0.9994221380508632 0.9987731983015449 0.9995855995043564 0.9974867061313346 1.0005667880447344 0.9998484438326113 1.0020731940240406 0.9980753783779147 1.0003315517418747 0.9999383038122325 0.9880197698045241 0.9997421468719395 1.000001722249854 0.9991734333874829 0.9992990971456582 1.000051991647245 0.9991543151382342 0.9993708086721458 0.9999181577595143 0.9995401725282265 0.9938038622048838 0.9999653077334295 1.0025543353321575 0.9981245946255999 1.0006025318675171 0.9999263257142319 0.9975750793165004 1.000177593879663 0.9879504428269261 0.9965453611985471 0.996659451047215 0.9971048165280539 0.9990972216456345 0.9947706703251522 0.9951738322216769 0.9893156612500654 0.9947192822736404 0.990150617387916 0.9966618975830753 0.9224812526558622 0.9963659573024357 13.50
0.304 0.022 0.41553 0.0000742 0.0026500 4.140 normal 1.003596368678622 -0.0011126754159661001 0.9994816895514723 0.9992064724421768 4.0557835428909745e-05 -0.0004073602596870607 1.0 0.9977240156623081 0.9999373370370411 0.9999919169751552 1.004326264565722 0.9992916250445685 1.0019688342904236 0.9999455315334042 0.9947605153655844 0.9938981803972478 1.0000853787477497 1.0011155390664455 0.9992162087756221 1.0001052396337127 0.9997470045407925 0.9943673522929021 1.0 0.9999982715899193 0.9997907656589103 0.9989990001261192 1.0012083586586398 0.9994024476737097 0.9995578249842245 0.9993971545014563 0.997818236311612 0.99476030315039 0.999989646053062 1.0003029142434956 0.9994476377119803 1.0003019701120137 0.9997793791311979 0.9980723633006797 1.0002891216956131 0.9999986889649907 1.000015795122242 0.9989331515933882 1.0011225085958635 0.9988969881882697 1.0006282339857222 1.0001258081668027 0.9973118335961593 0.9947160017665075 1.0001063071520333 1.0004485934861247 0.9993974981838609 1.000310194234015 0.9996731447745651 0.9981320944882366 1.0005167018041254 0.930302959556866 0.9972561005515186 0.9973529738894715 0.9978800000334407 1.00202701754819 1.0030886415096842 0.998145425904245 0.995064247542878 0.9729668319590353 1.0086672855392087 0.9976515034003649 0.9775993648380326 0.9937800158274794 9.72
