DCP Xi
0.0 28.196483621051524
0.369411764705882 28.105782083577623
0.738823529411765 27.84177709427512
1.108235294117647 27.22696002306269
1.47764705882353 26.03642028574506
1.847058823529412 25.818227143551383
2.216470588235294 25.039150302384662
2.585882352941176 24.846623995940227
2.955294117647059 24.48138453046213
3.324705882352942 24.841477146662207
3.694117647058824 25.21035931749256
4.063529411764706 25.28073236776287
4.432941176470589 25.53775229678808
4.802352941176471 25.96113247970011
5.171764705882353 26.535814329636093
5.541176470588236 27.016523075151717
5.910588235294118 27.67991292878855
6.28 27.90179625222787
