SqT23 DM31 SqT13 X2
0.305 0.002 0.0 338.25739177530636
0.305 0.002 0.004210526315789474 340.06160838878026
0.305 0.002 0.008421052631578947 341.3447712310179
0.305 0.002 0.01263157894736842 343.7934822870495
0.305 0.002 0.016842105263157894 346.87749414695696
0.305 0.002 0.021052631578947368 350.5784307622509
0.305 0.002 0.02526315789473684 354.5227797843736
0.305 0.002 0.029473684210526315 359.5799059944056
0.305 0.002 0.03368421052631579 364.4608127721764
0.305 0.002 0.03789473684210526 369.9388137043242
0.305 0.002 0.042105263157894736 375.56543259756234
0.305 0.002 0.04631578947368421 381.99055198415584
0.305 0.002 0.05052631578947368 388.2678620103632
0.305 0.002 0.05473684210526315 394.2124032754791
0.305 0.002 0.05894736842105263 401.003743136524
0.305 0.002 0.06315789473684211 406.5909953651194
0.305 0.002 0.06736842105263158 413.1520771570254
0.305 0.002 0.07157894736842105 420.11404356200416
0.305 0.002 0.07578947368421052 427.26932522204567
0.305 0.002 0.08 434.64091210196676
0.305 0.002041666666666667 0.0 312.7886322204987
0.305 0.002041666666666667 0.004210526315789474 314.0686962384635
0.305 0.002041666666666667 0.008421052631578947 315.10358880669946
0.305 0.002041666666666667 0.01263157894736842 316.9251751984525
0.305 0.002041666666666667 0.016842105263157894 319.7840697602905
0.305 0.002041666666666667 0.021052631578947368 322.87136473615186
0.305 0.002041666666666667 0.02526315789473684 326.3564458374218
0.305 0.002041666666666667 0.029473684210526315 330.4499841885261
0.305 0.002041666666666667 0.03368421052631579 335.0407604783387
0.305 0.002041666666666667 0.03789473684210526 340.3630266476452
0.305 0.002041666666666667 0.042105263157894736 345.3824205971575
0.305 0.002041666666666667 0.04631578947368421 350.9704883767339
0.305 0.002041666666666667 0.05052631578947368 356.1615533884935
0.305 0.002041666666666667 0.05473684210526315 361.3176775277887
0.305 0.002041666666666667 0.05894736842105263 367.4519341817181
0.305 0.002041666666666667 0.06315789473684211 373.5445178992381
0.305 0.002041666666666667 0.06736842105263158 379.75404333217193
0.305 0.002041666666666667 0.07157894736842105 387.026493468156
0.305 0.002041666666666667 0.07578947368421052 393.5899633747595
0.305 0.002041666666666667 0.08 400.3759200107092
0.305 0.0020833333333333333 0.0 288.38087344767376
0.305 0.0020833333333333333 0.004210526315789474 288.84474655106646
0.305 0.0020833333333333333 0.008421052631578947 289.401081307769
0.305 0.0020833333333333333 0.01263157894736842 290.7469234954082
