Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization_Below1GeV FluxNormalization_Above1GeV FluxTilt NuNuBarRatio FlavorRatio ZenithFluxUp ZenithFluxDown IceAbsorption IceScattering OptEffHeadon OptEffLateral OptEffOverall CoinFraction XSecNuTau NCoverCC NCHad DIS CCQE CCQENuBarNu CCQEMuE CC1Pi_Pi0Pi CC1Pi_NuBarNuE CC1Pi_NuBarNuMu CC1PiProduction CohPiProduction AxialMass X2 
0.304 0.022 0.305 7.42e-05 0.00245 4.14 normal 1.0 1.0382867304845815 -0.011646378625834414 1.0010361639885557 0.9333628694709626 0.08967821937716594 -0.0832350153389567 0.9971592054199945 0.9971592054199945 -0.02669226112142973 24.992456913868793 0.9971592054199945 -0.002840794580005797 0.9634102401970414 1.0206600216459836 0.994348602504666 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0316036489024305 118.27322834900023
0.304 0.022 0.305 7.42e-05 0.0024000000000000002 4.14 normal 1.0 1.0397936078797434 -0.01108667465044616 1.0039515462690214 0.934316959319978 0.09499114466271179 -0.07856345177583245 1.0001055326512258 1.0001055326512258 -0.028972092810450215 24.990178227514097 1.0001055326512258 0.00010553265122411752 0.9613786658353081 1.014637813714566 0.9913367441375404 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0278166913080127 134.97858804721957
0.304 0.022 0.305 7.42e-05 0.0024000000000000002 4.14 inverted 1.0 1.0386028225908963 -0.012065048368934777 1.005135750330092 0.9356744382008885 0.09518345771015821 -0.07124989687393449 0.9973373544992393 0.9973373544992393 -0.030156389587688463 24.988992828235144 0.9973373544992393 -0.0026626455007598506 0.9753670372555232 1.0176232919348576 0.9928117860473374 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.027387155302729 136.92436449868268
0.304 0.022 0.305 7.42e-05 0.00255 4.14 inverted 1.0 1.0355211793157593 -0.012354817571341246 1.0026802449028738 0.9378562971419894 0.08824936650357426 -0.04725923200154747 1.004267704820363 1.004267704820363 -0.04758187945803305 24.971572126255865 1.004267704820363 0.004267704820359169 1.0576869005709157 1.014156257087774 0.9972394285741583 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0164772820048416 133.84369234013386
0.304 0.022 0.305 7.42e-05 0.00245 4.14 inverted 1.0 1.0362356391124494 -0.0124032592910159 1.0077272733434923 0.9353916821842594 0.09530432678550527 -0.06427703379222775 0.9977212242168292 0.9977212242168292 -0.03129106713329276 24.987858208680706 0.9977212242168292 -0.0022787757831774936 0.9996370181605893 1.0221369073942037 0.9971651404876801 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.026212298855344 127.2099159743563
0.304 0.022 0.305 7.42e-05 0.0025 4.14 inverted 1.0 1.0377861118667107 -0.012500647234550737 1.0012625006187332 0.9352373452328941 0.09294909063246566 -0.051466726050202354 1.000176931278224 1.000176931278224 -0.038206191196573265 24.980944057294938 1.000176931278224 0.00017693127822318556 1.0360505470527364 1.0178952200976363 0.9947087692340392 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0216686694570074 126.32443575366054
0.304 0.022 0.305 7.42e-05 0.00255 4.14 normal 1.0 1.0360125059398575 -0.011583594201495068 1.0015691835268308 0.9365380818548134 0.08658613902298111 -0.05921415585861946 0.9932245288297951 0.9932245288297951 -0.01910368755270964 25.000045610170243 0.9932245288297951 -0.006775471170203546 1.0352329965495115 1.0171369672565418 0.9929857973695985 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0222161769075377 113.93065820561283
0.304 0.022 0.305 7.42e-05 0.0025 4.14 normal 1.0 1.034425108209264 -0.01171328762383086 1.0067764906798575 0.9362432431322832 0.08776330869530007 -0.06825387278219369 0.9936068968363402 0.9936068968363402 -0.02008605958721281 24.999064308752 0.9936068968363402 -0.006393103163656338 1.004593508094626 1.0209239684376643 0.998367289083402 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0239717688051477 111.01607011253111
0.304 0.022 0.305 7.42e-05 0.0026 4.14 normal 1.0 1.0336305596582789 -0.01123024574822646 1.0032510014961098 0.9403945640580148 0.08146478841212043 -0.05693634407295667 1.0026739590406122 1.0026739590406122 -0.03913253567827603 24.980018646409896 1.0026739590406122 0.0026739590406247697 1.0573809607417604 1.010415655394035 0.9958690483137329 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.011977852593855 124.6795415814309
0.304 0.022 0.305 7.42e-05 0.0026 4.14 inverted 1.0 1.0326480911798503 -0.012802750978092983 1.0063457700799467 0.9369933007756424 0.0849084530037044 -0.04513983127975667 0.998419038143072 0.998419038143072 -0.035066562760886995 24.98408416052777 0.998419038143072 -0.0015809618569206324 1.076463281181485 1.0203424225575133 0.9979783610917624 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0160024615035796 147.52642432771344
