Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization_Below1GeV FluxNormalization_Above1GeV FluxTilt NuNuBarRatio FlavorRatio ZenithFluxUp ZenithFluxDown IceAbsorption IceScattering OptEffHeadon OptEffLateral OptEffOverall CoinFraction XSecNuTau NCoverCC NCHad DIS CCQE CCQENuBarNu CCQEMuE CC1Pi_Pi0Pi CC1Pi_NuBarNuE CC1Pi_NuBarNuMu CC1PiProduction CohPiProduction AxialMass X2
0.304 0.022 0.305 7.42e-05 0.00255 4.14 normal 1.0 1.0360125059398575 -0.011583594201495068 1.0015691835268308 0.9365380818548134 0.08658613902298111 -0.05921415585861946 0.9932245288297951 0.9932245288297951 -0.01910368755270964 25.000045610170243 0.9932245288297951 -0.006775471170203546 1.0352329965495115 1.0171369672565418 0.9929857973695985 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0222161769075377 113.93065820561283
0.304 0.022 0.305 7.42e-05 0.0025 4.14 normal 1.0 1.034425108209264 -0.01171328762383086 1.0067764906798575 0.9362432431322832 0.08776330869530007 -0.06825387278219369 0.9936068968363402 0.9936068968363402 -0.02008605958721281 24.999064308752 0.9936068968363402 -0.006393103163656338 1.004593508094626 1.0209239684376643 0.998367289083402 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0239717688051477 111.01607011253111
0.304 0.022 0.305 7.42e-05 0.0026 4.14 normal 1.0 1.0336305596582789 -0.01123024574822646 1.0032510014961098 0.9403945640580148 0.08146478841212043 -0.05693634407295667 1.0026739590406122 1.0026739590406122 -0.03913253567827603 24.980018646409896 1.0026739590406122 0.0026739590406247697 1.0573809607417604 1.010415655394035 0.9958690483137329 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.011977852593855 124.6795415814309
0.304 0.022 0.305 7.42e-05 0.0027 4.14 normal 1.0 1.0275720348979789 -0.012722221993470421 1.0090494770402825 0.9386070087411424 0.07551864178911495 -0.05447684013719705 0.9960849822836487 0.9960849822836487 -0.030200777286110064 24.988949787349146 0.9960849822836487 -0.003915017716342068 1.0857681907043304 1.025266490707207 1.0033587754156295 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0163673257331143 159.8807451754864
0.304 0.022 0.305 7.42e-05 0.00265 4.14 normal 1.0 1.029862811537877 -0.011977643136282195 1.007661552497685 0.9401278509817138 0.07798143802440512 -0.056438037356613444 0.996681133431011 0.996681133431011 -0.029666907014179532 24.989483647654094 0.996681133431011 -0.003318866568974146 1.0702214332559887 1.0193064062476291 0.998192167075429 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.016096820270954 140.94405003256128
0.304 0.022 0.305 7.42e-05 0.00275 4.14 normal 1.0 1.0295612741949876 -0.013291072359284277 1.0030041394252964 0.937817750457328 0.07635893812791864 -0.043174756065460694 0.9990490607378584 0.9990490607378584 -0.03883028582855878 24.980320484868425 0.9990490607378584 -0.0009509392621259458 1.1154667582203106 1.0225402473985448 1.0002104061130364 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0144330540973734 180.35881819052105
0.304 0.022 0.305 7.42e-05 0.0028 4.14 normal 1.0 1.029434220184032 -0.013142990804678576 1.0029875410634213 0.9377846614328446 0.07650528684109967 -0.043020102103055534 0.9989713838368226 0.9989713838368226 -0.03951678266843761 24.979634142219915 0.9989713838368226 -0.0010286161631617658 1.1156817747990202 1.0223883655712958 1.0001375206042873 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0143512181629946 201.4153869926882
0.304 0.022 0.305 7.42e-05 0.00285 4.14 normal 1.0 1.0292867092995919 -0.013048694444222237 1.0029565071259465 0.9377511521288905 0.0765951500354966 -0.04291765136569107 0.9989301158825332 0.9989301158825332 -0.04146267637235123 24.977688338064773 0.9989301158825332 -0.001069884117451057 1.1158195405593083 1.0223030547484395 1.0000978309078363 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0143013812239574 223.552122624226
0.304 0.022 0.305 7.42e-05 0.0029000000000000002 4.14 normal 1.0 1.0289283662584188 -0.013027185635685223 1.0028506377220203 0.9377447901130262 0.07649304413659769 -0.04298546075297596 0.9989897266097122 0.9989897266097122 -0.0421102931579242 24.977040629276622 0.9989897266097122 -0.0010102733902720726 1.1158795200441716 1.0224470299373076 1.0001967549647057 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.01432050310002 247.55658928289037
0.304 0.022 0.305 7.42e-05 0.00295 4.14 normal 1.0 1.021670112274877 -0.013266180550857272 1.0051077000636544 0.9483740860793051 0.06366321290489445 -0.01992912213973652 1.000693762111706 1.000693762111706 -0.051611463067765095 24.96754099390768 1.000693762111706 0.0006937621117155768 1.2035397298378856 1.0227794366916707 1.0003610368838558 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.006995999370872 268.90552163150153
