Energy sigmaCC sigmaNC
26.6595 18.4967 5.95318
26.7846 18.5814 5.97991
26.9097 18.666 6.00663
27.0349 18.7506 6.03335
27.16 18.8353 6.06007
27.2851 18.9199 6.08679
27.4102 19.0045 6.11351
27.5353 19.0891 6.14023
27.6604 19.1738 6.16695
27.7856 19.2584 6.19366
27.9107 19.3431 6.22038
28.0358 19.4277 6.24709
28.1609 19.5124 6.2738
28.286 19.5971 6.30051
28.4111 19.6818 6.32721
28.5362 19.7665 6.35391
28.6614 19.8512 6.38061
28.7865 19.9359 6.40731
28.9116 20.0206 6.434
29.0367 20.1053 6.46069
29.1618 20.19 6.48738
29.2869 20.2747 6.51406
29.4121 20.3594 6.54075
29.5372 20.4441 6.56742
29.6623 20.5288 6.59409
29.7874 20.6135 6.62076
29.9125 20.6982 6.64742
30.0376 20.7829 6.67408
30.1627 20.8676 6.70074
30.2879 20.9522 6.72739
30.413 21.0369 6.75404
30.5381 21.1215 6.78069
30.6632 21.2062 6.80734
30.7883 21.2908 6.83398
30.9134 21.3755 6.86063
31.0385 21.4601 6.88727
31.1637 21.5448 6.91391
31.2888 21.6294 6.94055
31.4139 21.714 6.96719
31.539 21.7986 6.99383
31.6641 21.8832 7.02047
31.7892 21.9679 7.04712
31.9144 22.0525 7.07376
32.0395 22.1371 7.10041
32.1646 22.2217 7.12707
32.2897 22.3063 7.15372
32.4148 22.3908 7.18037
32.5399 22.4754 7.20703
32.665 22.56 7.23367
32.7902 22.6446 7.26032
32.9153 22.7292 7.28697
33.0404 22.8138 7.31362
33.1655 22.8984 7.34028
33.2906 22.9829 7.36696
33.4157 23.0675 7.39364
33.5409 23.1521 7.42035
33.666 23.2367 7.44706
33.7911 23.3213 7.47377
33.9162 23.4059 7.50049
34.0413 23.4904 7.52719
34.1664 23.575 7.55388
34.2915 23.6596 7.58055
34.4167 23.7442 7.60721
34.5418 23.8287 7.63385
34.6669 23.9133 7.66049
34.792 23.9979 7.68711
34.9171 24.0825 7.71373
35.0422 24.167 7.74034
35.1673 24.2516 7.76695
35.2925 24.3361 7.79356
35.4176 24.4207 7.82017
35.5427 24.5053 7.84679
35.6678 24.5898 7.87342
35.7929 24.6744 7.90006
35.918 24.7589 7.92669
36.0432 24.8435 7.95331
36.1683 24.928 7.97992
36.2934 25.0125 8.0065
36.4185 25.0969 8.03305
36.5436 25.1814 8.05958
36.6687 25.2659 8.0861
36.7938 25.3503 8.11261
36.919 25.4349 8.13913
37.0441 25.5194 8.16566
37.1692 25.6039 8.1922
37.2943 25.6883 8.21877
37.4194 25.7726 8.24535
37.5445 25.8569 8.27194
37.6696 25.9412 8.29854
37.7948 26.0255 8.32514
