Energy sigmaCC sigmaNC
26.6595 18.4033 5.91273
26.7846 18.4878 5.93928
26.9097 18.5722 5.96582
27.0349 18.6567 5.99235
27.16 18.7412 6.01889
27.2851 18.8257 6.04543
27.4102 18.9102 6.07196
27.5353 18.9947 6.0985
27.6604 19.0792 6.12503
27.7856 19.1637 6.15156
27.9107 19.2483 6.17809
28.0358 19.3328 6.20461
28.1609 19.4174 6.23114
28.286 19.502 6.25766
28.4111 19.5866 6.28418
28.5362 19.6712 6.31069
28.6614 19.7558 6.33721
28.7865 19.8404 6.36372
28.9116 19.925 6.39023
29.0367 20.0097 6.41673
29.1618 20.0943 6.44323
29.2869 20.1789 6.46973
29.4121 20.2636 6.49622
29.5372 20.3482 6.52271
29.6623 20.4328 6.5492
29.7874 20.5174 6.57568
29.9125 20.602 6.60215
30.0376 20.6866 6.62863
30.1627 20.7712 6.65509
30.2879 20.8558 6.68156
30.413 20.9404 6.70802
30.5381 21.025 6.73448
30.6632 21.1095 6.76094
30.7883 21.1941 6.7874
30.9134 21.2787 6.81385
31.0385 21.3632 6.8403
31.1637 21.4477 6.86676
31.2888 21.5323 6.89321
31.4139 21.6168 6.91966
31.539 21.7013 6.94611
31.6641 21.7858 6.97257
31.7892 21.8703 6.99902
31.9144 21.9549 7.02547
32.0395 22.0394 7.05193
32.1646 22.1239 7.07839
32.2897 22.2084 7.10485
32.4148 22.2929 7.13132
32.5399 22.3774 7.15778
32.665 22.4618 7.18425
32.7902 22.5463 7.21071
32.9153 22.6308 7.23718
33.0404 22.7153 7.26365
33.1655 22.7998 7.29011
33.2906 22.8843 7.31658
33.4157 22.9687 7.34305
33.5409 23.0532 7.36951
33.666 23.1377 7.39598
33.7911 23.2222 7.42244
33.9162 23.3066 7.4489
34.0413 23.3911 7.47536
34.1664 23.4756 7.50182
34.2915 23.5601 7.52827
34.4167 23.6445 7.55472
34.5418 23.729 7.58117
34.6669 23.8135 7.60761
34.792 23.8979 7.63406
34.9171 23.9824 7.66049
35.0422 24.0669 7.68693
35.1673 24.1514 7.71336
35.2925 24.2358 7.73978
35.4176 24.3203 7.76621
35.5427 24.4048 7.79263
35.6678 24.4892 7.81905
35.7929 24.5737 7.84546
35.918 24.6581 7.87188
36.0432 24.7426 7.89829
36.1683 24.827 7.9247
36.2934 24.9115 7.9511
36.4185 24.9959 7.97751
36.5436 25.0803 8.00391
36.6687 25.1647 8.03031
36.7938 25.2492 8.05671
36.919 25.3336 8.08311
37.0441 25.418 8.10951
37.1692 25.5023 8.13591
37.2943 25.5867 8.1623
37.4194 25.6711 8.18869
37.5445 25.7555 8.21509
37.6696 25.8398 8.24148
37.7948 25.9242 8.26787
37.9199 26.0086 8.29426
38.045 26.0929 8.32065
38.1701 26.1773 8.34704
38.2952 26.2617 8.37342
38.4203 26.346 8.39981
38.5455 26.4304 8.42619
38.6706 26.5148 8.45258
38.7957 26.5991 8.47896
38.9208 26.6835 8.50534
39.0459 26.7679 8.53172
39.171 26.8523 8.5581
39.2961 26.9367 8.58448
39.4213 27.0211 8.61085
39.5464 27.1055 8.63723
39.6715 27.1899 8.6636
39.7966 27.2744 8.68997
39.9217 27.3588 8.71634
40.0468 27.4433 8.74271
40.172 27.5277 8.76908
40.2971 27.6122 8.79545
40.4222 27.6967 8.82182
40.5473 27.7812 8.84818
40.6724 27.8656 8.87454
40.7975 27.9501 8.9009
40.9226 28.0346 8.92726
41.0478 28.1191 8.95362
41.1729 28.2035 8.97998
41.298 28.288 9.00633
41.4231 28.3725 9.03269
41.5482 28.4569 9.05904
41.6733 28.5413 9.08539
41.7984 28.6258 9.11174
41.9236 28.7102 9.13809
42.0487 28.7946 9.16444
42.1738 28.879 9.19078
42.2989 28.9634 9.21713
42.424 29.0477 9.24347
42.5491 29.1321 9.26981
42.6743 29.2164 9.29615
42.7994 29.3007 9.32249
42.9245 29.385 9.34882
43.0496 29.4692 9.37516
43.1747 29.5535 9.40149
43.2998 29.6377 9.42783
43.4249 29.7219 9.45416
43.5501 29.8061 9.48049
43.6752 29.8903 9.50681
43.8003 29.9745 9.53314
43.9254 30.0587 9.55947
44.0505 30.1428 9.58579
44.1756 30.227 9.61212
44.3008 30.3111 9.63844
44.4259 30.3953 9.66476
44.551 30.4794 9.69108
44.6761 30.5635 9.7174
44.8012 30.6477 9.74371
44.9263 30.7318 9.77003
45.0514 30.8159 9.79634
45.1766 30.9001 9.82266
45.3017 30.9842 9.84897
45.4268 31.0684 9.87528
45.5519 31.1525 9.90159
45.677 31.2367 9.9279
45.8021 31.3208 9.95421
45.9272 31.405 9.98052
46.0524 31.4892 10.0068
46.1775 31.5733 10.0331
46.3026 31.6575 10.0594
46.4277 31.7417 10.0857
46.5528 31.8259 10.1121
46.6779 31.9101 10.1384
46.8031 31.9943 10.1647
46.9282 32.0785 10.191
47.0533 32.1627 10.2173
47.1784 32.2469 10.2436
47.3035 32.3311 10.2699
47.4286 32.4154 10.2962
47.5537 32.4996 10.3225
47.6789 32.5838 10.3488
47.804 32.668 10.3751
47.9291 32.7522 10.4014
48.0542 32.8364 10.4276
48.1793 32.9207 10.4539
48.3044 33.0049 10.4802
48.4295 33.0891 10.5065
48.5547 33.1733 10.5328
48.6798 33.2575 10.5591
48.8049 33.3417 10.5854
48.93 33.4259 10.6117
49.0551 33.5101 10.6379
49.1802 33.5943 10.6642
49.3054 33.6785 10.6905
49.4305 33.7627 10.7168
49.5556 33.8469 10.7431
49.6807 33.9311 10.7693
49.8058 34.0153 10.7956
49.9309 34.0994 10.8219
50.056 34.1836 10.8481
50.1812 34.2678 10.8744
50.3063 34.3519 10.9006
50.4314 34.4361 10.9269
50.5565 34.5203 10.9532
50.6816 34.6044 10.9794
50.8067 34.6886 11.0057
50.9319 34.7727 11.0319
51.057 34.8568 11.0581
51.1821 34.941 11.0844
51.3072 35.0251 11.1106
51.4323 35.1092 11.1369
51.5574 35.1934 11.1631
51.6825 35.2775 11.1893
51.8077 35.3616 11.2156
51.9328 35.4457 11.2418
52.0579 35.5298 11.268
52.183 35.6139 11.2942
52.3081 35.698 11.3205
52.4332 35.7821 11.3467
52.5583 35.8662 11.3729
52.6835 35.9503 11.3991
52.8086 36.0344 11.4254
52.9337 36.1185 11.4516
53.0588 36.2026 11.4778
53.1839 36.2866 11.504
53.309 36.3707 11.5302
53.4342 36.4548 11.5564
53.5593 36.5388 11.5827
53.6844 36.6229 11.6089
53.8095 36.707 11.6351
53.9346 36.791 11.6613
54.0597 36.8751 11.6875
54.1848 36.9591 11.7137
54.31 37.0432 11.7399
54.4351 37.1272 11.7661
54.5602 37.2112 11.7924
54.6853 37.2953 11.8186
54.8104 37.3793 11.8448
54.9355 37.4633 11.871
55.0607 37.5473 11.8972
55.1858 37.6314 11.9234
55.3109 37.7154 11.9496
55.436 37.7994 11.9758
55.5611 37.8834 12.0021
55.6862 37.9674 12.0283
55.8113 38.0514 12.0545
55.9365 38.1354 12.0807
56.0616 38.2195 12.1069
56.1867 38.3035 12.1331
56.3118 38.3875 12.1593
56.4369 38.4715 12.1855
56.562 38.5555 12.2117
56.6871 38.6394 12.238
56.8123 38.7234 12.2642
56.9374 38.8074 12.2904
57.0625 38.8914 12.3166
57.1876 38.9754 12.3428
57.3127 39.0594 12.369
57.4378 39.1434 12.3952
57.563 39.2273 12.4214
57.6881 39.3113 12.4476
57.8132 39.3953 12.4738
57.9383 39.4793 12.5
58.0634 39.5633 12.5262
58.1885 39.6472 12.5524
58.3136 39.7312 12.5786
58.4388 39.8152 12.6048
58.5639 39.8991 12.6309
58.689 39.9831 12.6571
58.8141 40.067 12.6833
58.9392 40.151 12.7095
59.0643 40.235 12.7357
59.1894 40.3189 12.7619
59.3146 40.4029 12.7881
59.4397 40.4868 12.8142
59.5648 40.5708 12.8404
59.6899 40.6547 12.8666
59.815 40.7387 12.8928
59.9401 40.8226 12.919
60.0653 40.9066 12.9451
60.1904 40.9905 12.9713
60.3155 41.0744 12.9975
60.4406 41.1584 13.0237
60.5657 41.2423 13.0498
60.6908 41.3262 13.076
60.8159 41.4102 13.1022
60.9411 41.4941 13.1283
61.0662 41.578 13.1545
61.1913 41.6619 13.1807
61.3164 41.7458 13.2068
61.4415 41.8298 13.233
61.5666 41.9137 13.2591
61.6918 41.9976 13.2853
61.8169 42.0815 13.3115
61.942 42.1654 13.3376
62.0671 42.2493 13.3638
62.1922 42.3332 13.3899
62.3173 42.4171 13.4161
62.4424 42.501 13.4422
62.5676 42.5849 13.4684
62.6927 42.6688 13.4945
62.8178 42.7527 13.5207
62.9429 42.8365 13.5469
63.068 42.9204 13.573
63.1931 43.0043 13.5992
63.3182 43.0882 13.6253
63.4434 43.1721 13.6515
63.5685 43.2559 13.6776
63.6936 43.3398 13.7037
63.8187 43.4237 13.7299
63.9438 43.5075 13.756
64.0689 43.5914 13.7822
64.1941 43.6753 13.8083
64.3192 43.7591 13.8345
64.4443 43.843 13.8606
64.5694 43.9268 13.8868
64.6945 44.0107 13.9129
64.8196 44.0945 13.939
64.9447 44.1784 13.9652
65.0699 44.2622 13.9913
65.195 44.346 14.0175
65.3201 44.4299 14.0436
65.4452 44.5137 14.0697
65.5703 44.5975 14.0959
65.6954 44.6814 14.122
65.8206 44.7652 14.1481
65.9457 44.849 14.1743
66.0708 44.9328 14.2004
66.1959 45.0167 14.2265
66.321 45.1005 14.2527
66.4461 45.1843 14.2788
66.5712 45.2681 14.3049
66.6964 45.3519 14.331
66.8215 45.4357 14.3572
66.9466 45.5195 14.3833
67.0717 45.6033 14.4094
67.1968 45.6871 14.4355
67.3219 45.7709 14.4617
67.447 45.8547 14.4878
67.5722 45.9385 14.5139
67.6973 46.0223 14.54
67.8224 46.106 14.5661
67.9475 46.1898 14.5923
68.0726 46.2736 14.6184
68.1977 46.3574 14.6445
68.3229 46.4411 14.6706
68.448 46.5249 14.6967
68.5731 46.6087 14.7228
68.6982 46.6924 14.7489
68.8233 46.7762 14.775
68.9484 46.8599 14.8011
69.0735 46.9437 14.8272
69.1987 47.0274 14.8533
69.3238 47.1112 14.8794
69.4489 47.1949 14.9055
69.574 47.2787 14.9316
69.6991 47.3624 14.9577
69.8242 47.4461 14.9838
69.9493 47.5299 15.0099
70.0745 47.6136 15.036
70.1996 47.6973 15.0621
70.3247 47.781 15.0882
70.4498 47.8647 15.1143
70.5749 47.9485 15.1404
70.7 48.0322 15.1665
70.8252 48.1159 15.1926
70.9503 48.1996 15.2187
71.0754 48.2833 15.2447
71.2005 48.367 15.2708
71.3256 48.4507 15.2969
71.4507 48.5344 15.323
71.5758 48.6181 15.3491
71.701 48.7018 15.3751
71.8261 48.7855 15.4012
71.9512 48.8692 15.4273
72.0763 48.9528 15.4534
72.2014 49.0365 15.4794
72.3265 49.1202 15.5055
72.4517 49.2039 15.5316
72.5768 49.2875 15.5576
72.7019 49.3712 15.5837
72.827 49.4549 15.6098
72.9521 49.5385 15.6358
73.0772 49.6222 15.6619
73.2023 49.7059 15.688
73.3275 49.7895 15.714
73.4526 49.8732 15.7401
73.5777 49.9568 15.7661
73.7028 50.0405 15.7922
73.8279 50.1241 15.8182
73.953 50.2077 15.8443
74.0781 50.2914 15.8704
74.2033 50.375 15.8964
74.3284 50.4586 15.9225
74.4535 50.5422 15.9485
74.5786 50.6259 15.9746
74.7037 50.7095 16.0006
74.8288 50.7931 16.0266
74.954 50.8767 16.0527
75.0791 50.9603 16.0787
75.2042 51.0439 16.1048
75.3293 51.1275 16.1308
75.4544 51.2111 16.1569
75.5795 51.2947 16.1829
75.7046 51.3783 16.2089
75.8298 51.4619 16.235
75.9549 51.5454 16.261
76.08 51.629 16.2871
76.2051 51.7126 16.3131
76.3302 51.7962 16.3391
76.4553 51.8797 16.3652
76.5805 51.9633 16.3912
76.7056 52.0469 16.4173
76.8307 52.1305 16.4433
76.9558 52.214 16.4693
77.0809 52.2976 16.4954
77.206 52.3812 16.5214
77.3311 52.4647 16.5475
77.4563 52.5483 16.5735
77.5814 52.6319 16.5995
77.7065 52.7154 16.6256
77.8316 52.799 16.6516
77.9567 52.8826 16.6777
78.0818 52.9661 16.7037
78.2069 53.0497 16.7297
78.3321 53.1333 16.7558
78.4572 53.2168 16.7818
78.5823 53.3004 16.8079
78.7074 53.384 16.8339
78.8325 53.4676 16.86
78.9576 53.5511 16.886
79.0828 53.6347 16.912
79.2079 53.7183 16.9381
79.333 53.8019 16.9641
79.4581 53.8855 16.9902
79.5832 53.9691 17.0162
79.7083 54.0527 17.0423
79.8334 54.1363 17.0684
79.9586 54.2199 17.0944
80.0837 54.3035 17.1205
80.2088 54.3871 17.1465
80.3339 54.4708 17.1726
80.459 54.5544 17.1986
80.5841 54.638 17.2247
80.7092 54.7216 17.2508
80.8344 54.8053 17.2768
80.9595 54.8889 17.3029
81.0846 54.9726 17.3289
81.2097 55.0562 17.355
81.3348 55.1399 17.381
81.4599 55.2236 17.4071
81.5851 55.3072 17.4332
81.7102 55.3909 17.4592
81.8353 55.4745 17.4853
81.9604 55.5582 17.5113
82.0855 55.6419 17.5374
82.2106 55.7255 17.5635
82.3357 55.8092 17.5895
82.4609 55.8929 17.6156
82.586 55.9765 17.6416
82.7111 56.0602 17.6677
82.8362 56.1438 17.6937
82.9613 56.2275 17.7198
83.0864 56.3111 17.7458
83.2116 56.3948 17.7719
83.3367 56.4784 17.7979
83.4618 56.5621 17.8239
83.5869 56.6457 17.85
83.712 56.7293 17.876
83.8371 56.813 17.9021
83.9622 56.8966 17.9281
84.0874 56.9802 17.9541
84.2125 57.0638 17.9801
84.3376 57.1474 18.0062
84.4627 57.231 18.0322
84.5878 57.3146 18.0582
84.7129 57.3981 18.0842
84.838 57.4817 18.1102
84.9632 57.5652 18.1363
85.0883 57.6488 18.1623
85.2134 57.7323 18.1883
85.3385 57.8158 18.2143
85.4636 57.8993 18.2403
85.5887 57.9828 18.2663
85.7139 58.0663 18.2922
85.839 58.1498 18.3182
85.9641 58.2333 18.3442
86.0892 58.3167 18.3702
86.2143 58.4001 18.3962
86.3394 58.4835 18.4221
86.4645 58.5669 18.4481
86.5897 58.6503 18.4741
86.7148 58.7337 18.5
86.8399 58.8171 18.526
86.965 58.9004 18.5519
87.0901 58.9838 18.5779
87.2152 59.0671 18.6038
87.3404 59.1504 18.6298
87.4655 59.2337 18.6557
87.5906 59.317 18.6817
87.7157 59.4002 18.7076
87.8408 59.4835 18.7335
87.9659 59.5667 18.7595
88.091 59.65 18.7854
88.2162 59.7332 18.8113
88.3413 59.8164 18.8372
88.4664 59.8996 18.8632
88.5915 59.9828 18.8891
88.7166 60.066 18.915
88.8417 60.1492 18.9409
88.9668 60.2324 18.9668
89.092 60.3156 18.9927
89.2171 60.3987 19.0186
89.3422 60.4819 19.0446
89.4673 60.565 19.0705
89.5924 60.6482 19.0964
89.7175 60.7313 19.1223
