,energy,nu,nubar,tau,taubar,nc,ncbar
67,8.39271,6.12721,2.86963,1.0455116373986484,0.6420838048166362,2.02464,1.09132
68,8.51783,6.21169,2.9089,1.0850055159853464,0.6635271622746847,2.05185,1.10587
69,8.64294,6.29647,2.94824,1.125057756449796,0.6849688059094068,2.07908,1.12041
70,8.76806,6.38137,2.98758,1.1651131982762848,0.7064121633674553,2.1063,1.13495
71,8.89317,6.46619,3.02691,1.2051654387407347,0.7278538070021773,2.13351,1.14949
72,9.01829,6.55084,3.0662,1.2458312165570167,0.7492971644602259,2.16069,1.16403
73,9.1434,6.63527,3.10545,1.2866089834751797,0.7707388080949479,2.18786,1.17857
74,9.26852,6.71956,3.14467,1.3273900097464657,0.7921821655529965,2.21502,1.1931
75,9.39363,6.80379,3.1839,1.3681677766646287,0.812502649828265,2.24216,1.20763
76,9.51875,6.88806,3.22313,1.4085100926441376,0.8323429518080258,2.2693,1.22215
77,9.64386,6.97229,3.26238,1.4487304051258414,0.8521816680859017,2.29645,1.23668
78,9.76898,7.0565,3.30165,1.488953932403524,0.8720219700656624,2.32359,1.25119
79,9.89409,7.14096,3.34094,1.529174244885228,0.8918606863435383,2.35072,1.2657
80,10.0192,7.22549,3.38023,1.5679474908564244,0.9116994026214142,2.37786,1.28021
81,10.1443,7.31003,3.41951,1.6061896749619504,0.9315365331974057,2.40499,1.29471
82,10.2694,7.39459,3.45878,1.6444318590674765,0.951373663773397,2.43211,1.30921
83,10.3946,7.47914,3.49803,1.6827046124648537,0.9712266513682344,2.45923,1.3237
84,10.5197,7.56366,3.53726,1.7285950037532982,0.9916879602617668,2.48633,1.33819
85,10.6448,7.64818,3.57648,1.7781044995824484,1.0122251714680426,2.51343,1.35268
86,10.7699,7.73269,3.6157,1.8276139954115986,1.0327623826743186,2.54051,1.36717
87,10.895,7.81721,3.65493,1.8771234912407488,1.0532995938805945,2.56761,1.38162
88,11.0201,7.90172,3.69416,1.920021240379923,1.0738368050868705,2.59468,1.39605
89,11.1452,7.98624,3.7334,1.9589361574618902,1.0943740162931468,2.6217,1.41051
90,11.2704,8.07077,3.77267,1.9978821815918841,1.114927644135079,2.64871,1.425
91,11.3955,8.15532,3.81196,2.036797098673851,1.135464855341355,2.67576,1.43944
92,11.5206,8.23988,3.85126,2.07455451203581,1.156002066547631,2.70282,1.45387
93,11.6457,8.32445,3.89057,2.1114392230055463,1.176539277753907,2.72983,1.46834
94,11.7708,8.40905,3.9299,2.148323933975283,1.1970764889601828,2.75684,1.48282
95,11.8959,8.49368,3.96923,2.185208644945019,1.2177114670502194,2.78386,1.49729
96,12.0211,8.57832,4.00856,2.222122840096186,1.2384719798835269,2.8109,1.51176
97,12.1462,8.66297,4.0479,2.2647050987751944,1.259215910837574,2.83793,1.52623
98,12.2713,8.74763,4.08724,2.3076706552247477,1.2799598417916214,2.86495,1.54069
99,12.3964,8.83231,4.12659,2.350636211674301,1.3007037727456687,2.89196,1.55516
100,12.5215,8.91698,4.16594,2.393601768123854,1.3214477036997159,2.91897,1.56962
101,12.6466,9.00165,4.2053,2.4365673245734074,1.3421916346537632,2.946,1.5841
102,12.7717,9.08632,4.24466,2.4826640804854505,1.3629355656078106,2.97302,1.59858
103,12.8969,9.17098,4.28403,2.529993821341475,1.3836960784411179,3.00003,1.61305
104,13.022,9.25564,4.3234,2.577285758890106,1.4044400093951652,3.02703,1.62751
105,13.1471,9.3403,4.36278,2.624577696438737,1.4251839403492124,3.05402,1.64196
106,13.2722,9.42497,4.40217,2.671869633987368,1.4459278713032597,3.08102,1.65642
107,13.3973,9.50965,4.44156,2.720594159277192,1.466671802257307,3.10801,1.67088
