Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization FluxNormalization X2 
0.304 0.022 0.37166666666666665 7.42e-05 0.00255 4.014 normal 0.9893383655403325 0.9970202474355353 37.522378388262226
0.304 0.022 0.37166666666666665 7.42e-05 0.00295 4.014 normal 0.9947298800519925 0.9988292964869478 161.10876060533326
0.304 0.022 0.37166666666666665 7.42e-05 0.00285 4.014 normal 0.9932408611940327 0.9983981236329817 123.1599777467861
0.304 0.022 0.37166666666666665 7.42e-05 0.0029000000000000002 4.014 normal 0.9940622099001111 0.9986475084244323 141.49792211906893
0.304 0.022 0.37166666666666665 7.42e-05 0.0028 4.014 normal 0.9926168705516556 0.9980871644740779 106.51505470612848
0.304 0.022 0.37166666666666665 7.42e-05 0.0026 4.014 normal 0.9903091601243084 0.9973082806029228 45.87205398244336
0.304 0.022 0.37166666666666665 7.42e-05 0.00265 4.014 normal 0.9908227222213524 0.9973957791816176 58.488786063658964
0.304 0.022 0.37166666666666665 7.42e-05 0.00275 4.014 normal 0.9917859292930538 0.9976987439879933 89.84792211520748
0.304 0.022 0.37166666666666665 7.42e-05 0.0027 4.014 normal 0.9913986749372363 0.9974677285829179 73.40078943227373
0.304 0.022 0.37166666666666665 7.42e-05 0.003 4.014 normal 0.9961781255710228 0.9989709303286739 181.39472755210645
0.304 0.022 0.3883333333333333 7.42e-05 0.0023 4.014 normal 0.9893101976258262 0.9976525856314357 74.6952747379138
0.304 0.022 0.3883333333333333 7.42e-05 0.0022 4.014 normal 0.9879983151337102 0.9973714512675986 116.36657567125611
0.304 0.022 0.3883333333333333 7.42e-05 0.002 4.014 normal 0.9851889582894381 0.9953679061887298 243.87900943981313
0.304 0.022 0.3883333333333333 7.42e-05 0.0021 4.014 normal 0.986600586818252 0.9960565403546288 168.83064574188828
0.304 0.022 0.3883333333333333 7.42e-05 0.0022500000000000003 4.014 normal 0.9883302795565652 0.9976016027484209 94.9543038992172
0.304 0.022 0.3883333333333333 7.42e-05 0.00205 4.014 normal 0.9857351454040413 0.9955664765219512 204.25735141698092
0.304 0.022 0.3883333333333333 7.42e-05 0.00215 4.014 normal 0.9871127021645706 0.9967766226538247 140.06578744677572
0.304 0.022 0.3883333333333333 7.42e-05 0.00255 4.014 normal 0.9928768433551687 0.9993727889724908 26.26790894728604
0.304 0.022 0.3883333333333333 7.42e-05 0.0026 4.014 normal 0.9938611103508452 0.9996627132128297 35.037753794510984
0.304 0.022 0.3883333333333333 7.42e-05 0.0027 4.014 normal 0.9949716225387487 0.9998317630969787 62.99959446428577
0.304 0.022 0.3883333333333333 7.42e-05 0.00265 4.014 normal 0.9943867794426168 0.9997606578380583 47.862338698237274
0.304 0.022 0.3883333333333333 7.42e-05 0.0024000000000000002 4.014 normal 0.9907016715593157 0.997855722949602 40.072103281432604
0.304 0.022 0.3883333333333333 7.42e-05 0.0025 4.014 normal 0.9922539817913753 0.9988467744740921 23.403453248838
0.304 0.022 0.3883333333333333 7.42e-05 0.00235 4.014 normal 0.9899260324049461 0.9976905681680872 56.40811508106869
0.304 0.022 0.3883333333333333 7.42e-05 0.00245 4.014 normal 0.9914718048041905 0.9982610216942769 28.361403351808004
0.304 0.022 0.3883333333333333 7.42e-05 0.003 4.014 normal 0.9989640579459472 1.0013060733848194 174.09633811349684
0.304 0.022 0.3883333333333333 7.42e-05 0.00295 4.014 normal 0.9987816866949829 1.0012480775240176 153.32711161032682
0.304 0.022 0.3883333333333333 7.42e-05 0.0029000000000000002 4.014 normal 0.9986333579849183 1.0011284503105973 133.42394244453556
0.304 0.022 0.405 7.42e-05 0.002 4.014 normal 0.9882549916842006 0.9973117566512092 240.10673207057226
0.304 0.022 0.405 7.42e-05 0.00205 4.014 normal 0.9887967208120317 0.9975110907276268 199.67794136024838
0.304 0.022 0.3883333333333333 7.42e-05 0.0028 4.014 normal 0.9960642358301799 1.000389217053212 97.1455559549809
0.304 0.022 0.3883333333333333 7.42e-05 0.00285 4.014 normal 0.9967307875177337 1.0007146399462346 114.4785986074273
0.304 0.022 0.3883333333333333 7.42e-05 0.00275 4.014 normal 0.9953644069151275 1.0000643300821852 79.82836801984384
0.304 0.022 0.405 7.42e-05 0.00215 4.014 normal 0.9900975262707515 0.9986990078250418 134.6910577132401
0.304 0.022 0.405 7.42e-05 0.0022 4.014 normal 0.9909638911903967 0.9992785446157102 110.83359103110509
0.304 0.022 0.405 7.42e-05 0.00245 4.014 normal 0.9944993335542651 1.0001898650906111 21.108358770081495
0.304 0.022 0.405 7.42e-05 0.0024000000000000002 4.014 normal 0.9937152904369103 0.9997834932148545 32.844814422009584
0.304 0.022 0.405 7.42e-05 0.00235 4.014 normal 0.9929241842531977 0.9996151099799379 49.49347121334967
0.304 0.022 0.405 7.42e-05 0.0021 4.014 normal 0.9896374572357136 0.9979972345154651 163.73293389898947
0.304 0.022 0.405 7.42e-05 0.0022500000000000003 4.014 normal 0.9913004313651336 0.9995096269166612 89.03136350351637
0.304 0.022 0.405 7.42e-05 0.0023 4.014 normal 0.9922971754226545 0.9995697354933321 68.32206107287452
0.304 0.022 0.405 7.42e-05 0.00275 4.014 normal 0.9983999637453377 1.0020402245029854 74.26593864072868
0.304 0.022 0.405 7.42e-05 0.00285 4.014 normal 0.9985522808594527 1.0025381637287654 110.18146676969212
0.304 0.022 0.405 7.42e-05 0.0027 4.014 normal 0.9983769896479193 1.0018561043060634 57.138844247522194
0.304 0.022 0.405 7.42e-05 0.0028 4.014 normal 0.9984823554054626 1.0022883993527585 92.19569101599389
0.304 0.022 0.405 7.42e-05 0.00265 4.014 normal 0.9982003676673851 1.0018419090397608 41.78804021807856
0.304 0.022 0.405 7.42e-05 0.0025 4.014 normal 0.9952967670435492 1.0007907344671543 16.428056186535528
0.304 0.022 0.405 7.42e-05 0.0026 4.014 normal 0.9969564664028551 1.00161062749244 28.795075382391573
0.304 0.022 0.405 7.42e-05 0.00255 4.014 normal 0.9959196898315683 1.00132387152191 19.675572847962602
0.304 0.022 0.405 7.42e-05 0.00295 4.014 normal 1.002429874387309 1.0030291491322607 149.74750030772142
0.304 0.022 0.405 7.42e-05 0.0029000000000000002 4.014 normal 1.0019982169869976 1.0027726042426972 129.55743386300503
0.304 0.022 0.405 7.42e-05 0.003 4.014 normal 1.0028234323673773 1.003226204709494 171.1776654876058
0.304 0.022 0.42166666666666663 7.42e-05 0.0021 4.014 normal 0.9920008022921314 0.9994391220704882 161.45848411788123
0.304 0.022 0.42166666666666663 7.42e-05 0.00215 4.014 normal 0.9925205977391673 1.0001778994071866 132.19004450965545
0.304 0.022 0.42166666666666663 7.42e-05 0.0022 4.014 normal 0.9934464268255468 1.0007897204670153 108.22684658511652
0.304 0.022 0.42166666666666663 7.42e-05 0.002 4.014 normal 0.9905730381154166 0.998725332144918 238.97807095751196
0.304 0.022 0.42166666666666663 7.42e-05 0.00205 4.014 normal 0.9911286907095682 0.9989449274499497 197.8327848922666
0.304 0.022 0.42166666666666663 7.42e-05 0.00255 4.014 normal 0.9982120235293942 1.002843762548798 16.208514798361595
0.304 0.022 0.42166666666666663 7.42e-05 0.0025 4.014 normal 0.9979873016545117 1.002369864092037 12.646422157922721
0.304 0.022 0.42166666666666663 7.42e-05 0.0026 4.014 normal 0.9995260937730301 1.003256407855499 25.666774284003445
0.304 0.022 0.42166666666666663 7.42e-05 0.0023 4.014 normal 0.9948147982484841 1.0011054541721074 64.99716869753838
0.304 0.022 0.42166666666666663 7.42e-05 0.00245 4.014 normal 0.9971095652332016 1.0017343136918508 17.08272684287578
0.304 0.022 0.42166666666666663 7.42e-05 0.0022500000000000003 4.014 normal 0.9937998961018584 1.001036837639862 86.08337762365463
0.304 0.022 0.42166666666666663 7.42e-05 0.0024000000000000002 4.014 normal 0.9962676524317435 1.0013294041896768 28.81483586366375
0.304 0.022 0.42166666666666663 7.42e-05 0.00235 4.014 normal 0.9954548956102964 1.0011605429812505 45.72531344573938
0.304 0.022 0.42166666666666663 7.42e-05 0.00285 4.014 normal 1.003548708471343 1.0041801858431734 108.62437264862486
0.304 0.022 0.42166666666666663 7.42e-05 0.0029000000000000002 4.014 normal 1.0040968983690164 1.0045177020459921 128.35187239240182
0.304 0.022 0.42166666666666663 7.42e-05 0.003 4.014 normal 1.0049372341479164 1.0049853841050431 170.53951938743808
0.304 0.022 0.42166666666666663 7.42e-05 0.00295 4.014 normal 1.004533122874229 1.004775586678666 148.81182704286232
0.304 0.022 0.42166666666666663 7.42e-05 0.0028 4.014 normal 1.001822605869588 1.004027186547836 90.13334565357661
0.304 0.022 0.42166666666666663 7.42e-05 0.00275 4.014 normal 1.0011068310772617 1.003669078826207 71.69097888119362
0.304 0.022 0.42166666666666663 7.42e-05 0.00265 4.014 normal 1.000083049759363 1.0033462623979033 38.75905061529903
0.304 0.022 0.42166666666666663 7.42e-05 0.0027 4.014 normal 1.0006937940110805 1.003425348728869 54.31511936256719
0.304 0.022 0.43833333333333335 7.42e-05 0.0023 4.014 normal 0.9977065729814539 1.0024068696294604 63.55805386156199
0.304 0.022 0.43833333333333335 7.42e-05 0.00235 4.014 normal 0.9979083703319738 1.0024068275073137 43.89833494070074
0.304 0.022 0.43833333333333335 7.42e-05 0.0022 4.014 normal 0.9955083215490026 1.0019364332185547 107.36108049375456
0.304 0.022 0.43833333333333335 7.42e-05 0.0021 4.014 normal 0.9940102930064214 1.0005732820329714 160.81426850011908
0.304 0.022 0.43833333333333335 7.42e-05 0.00215 4.014 normal 0.9945533926491235 1.001333301088178 131.36781477498434
0.304 0.022 0.43833333333333335 7.42e-05 0.00205 4.014 normal 0.9930992720176842 1.0000465554523508 197.52295467223365
0.304 0.022 0.43833333333333335 7.42e-05 0.002 4.014 normal 0.9925234254775559 0.9998186526256538 239.24245155451388
0.304 0.022 0.43833333333333335 7.42e-05 0.0022500000000000003 4.014 normal 0.9958956162284744 1.0021845543042656 84.92645204699456
0.304 0.022 0.43833333333333335 7.42e-05 0.0027 4.014 normal 1.0029264870487575 1.0046128474606104 53.31454029125418
0.304 0.022 0.43833333333333335 7.42e-05 0.00275 4.014 normal 1.003393723544881 1.0048435573434027 70.91502002634479
0.304 0.022 0.43833333333333335 7.42e-05 0.0024000000000000002 4.014 normal 0.9981976439971503 1.0024989517011453 26.793487360219235
0.304 0.022 0.43833333333333335 7.42e-05 0.0026 4.014 normal 1.0016649980856183 1.004472439938122 24.42272773909244
0.304 0.022 0.43833333333333335 7.42e-05 0.00265 4.014 normal 1.0022225661995174 1.0045838997849632 37.62013679305182
0.304 0.022 0.43833333333333335 7.42e-05 0.0025 4.014 normal 0.9999804347263728 1.0035868890554003 10.83721396931702
0.304 0.022 0.43833333333333335 7.42e-05 0.00255 4.014 normal 1.0006232214083184 1.0041461479954923 14.687884254512895
0.304 0.022 0.43833333333333335 7.42e-05 0.00245 4.014 normal 0.999161184697648 1.0029891735546095 15.079214725920135
0.304 0.022 0.43833333333333335 7.42e-05 0.00285 4.014 normal 1.0052162505568358 1.0055349335187653 108.61662073167382
0.304 0.022 0.43833333333333335 7.42e-05 0.0028 4.014 normal 1.0047124395024156 1.0051518221424576 89.77407900861124
0.304 0.022 0.43833333333333335 7.42e-05 0.00295 4.014 normal 1.0062152211803888 1.0061430518173164 149.38049601915014
0.304 0.022 0.43833333333333335 7.42e-05 0.003 4.014 normal 1.0066263311403554 1.006359425471158 171.387149276516
0.304 0.022 0.43833333333333335 7.42e-05 0.0029000000000000002 4.014 normal 1.0057700729845613 1.0058769573265003 128.67156010611555
0.304 0.022 0.45499999999999996 7.42e-05 0.00205 4.014 normal 0.9946593684978812 1.0008221129697017 197.7970102352627
0.304 0.022 0.45499999999999996 7.42e-05 0.002 4.014 normal 0.994071352564365 1.0005845126733657 239.9538520919242
0.304 0.022 0.45499999999999996 7.42e-05 0.0021 4.014 normal 0.9955825343646927 1.00135814451312 160.8347969991935
0.304 0.022 0.45499999999999996 7.42e-05 0.0023 4.014 normal 0.997863930919846 1.0030187581227321 62.94179941677263
0.304 0.022 0.45499999999999996 7.42e-05 0.00215 4.014 normal 0.9975174931631173 1.0023275977366792 131.3595988345499
0.304 0.022 0.45499999999999996 7.42e-05 0.0022500000000000003 4.014 normal 0.9975326089034998 1.0030358627290445 84.55367206330608
0.304 0.022 0.45499999999999996 7.42e-05 0.0022 4.014 normal 0.9975354681084342 1.0028257642278011 107.22993411136333
0.304 0.022 0.45499999999999996 7.42e-05 0.00235 4.014 normal 0.998807534250597 1.0030352159766953 43.04130353221079
0.304 0.022 0.45499999999999996 7.42e-05 0.0025 4.014 normal 1.0016330247201846 1.004421189824643 10.016440389956234
0.304 0.022 0.45499999999999996 7.42e-05 0.00245 4.014 normal 1.0008032581516642 1.0038102163697966 14.12351351748832
0.304 0.022 0.45499999999999996 7.42e-05 0.0024000000000000002 4.014 normal 0.9999749515734283 1.0033674241986945 25.776092426994207
0.304 0.022 0.45499999999999996 7.42e-05 0.0029000000000000002 4.014 normal 1.0070191471192034 1.0068491541258553 129.47153924747906
0.304 0.022 0.45499999999999996 7.42e-05 0.00285 4.014 normal 1.0064621758661783 1.0065041455293957 109.15895104245733
0.304 0.022 0.45499999999999996 7.42e-05 0.00275 4.014 normal 1.0054218791983682 1.0057134168157855 70.86435734993469
0.304 0.022 0.45499999999999996 7.42e-05 0.0028 4.014 normal 1.0059529450100195 1.0061176258929196 90.00765256585461
0.304 0.022 0.45499999999999996 7.42e-05 0.00265 4.014 normal 1.0040716330457269 1.005360142289095 37.31346107260736
0.304 0.022 0.45499999999999996 7.42e-05 0.0027 4.014 normal 1.0047357512274673 1.0054699380475705 53.10773847726028
0.304 0.022 0.45499999999999996 7.42e-05 0.00255 4.014 normal 1.002271026022135 1.0049943885122576 14.0853351725055
0.304 0.022 0.45499999999999996 7.42e-05 0.0026 4.014 normal 1.0033296020527844 1.0053380795674463 24.030458886409974
0.304 0.022 0.4716666666666667 7.42e-05 0.00205 4.014 normal 0.9978452204113522 1.0015368134717941 198.1035117041209
0.304 0.022 0.4716666666666667 7.42e-05 0.00215 4.014 normal 0.9977013619961733 1.0026296969037614 131.11516684544054
0.304 0.022 0.4716666666666667 7.42e-05 0.0022 4.014 normal 0.9977158293137918 1.0031345419785072 107.04743080514122
0.304 0.022 0.4716666666666667 7.42e-05 0.0021 4.014 normal 0.9978972440649102 1.0019612485805864 160.84780918989333
0.304 0.022 0.45499999999999996 7.42e-05 0.00295 4.014 normal 1.0074695056502618 1.007118428784667 150.39420256093626
0.304 0.022 0.4716666666666667 7.42e-05 0.0022500000000000003 4.014 normal 0.9977145511850112 1.0033458483150075 84.25009896926251
0.304 0.022 0.45499999999999996 7.42e-05 0.003 4.014 normal 1.0078888429127184 1.0073445673197878 172.6543782425237
0.304 0.022 0.4716666666666667 7.42e-05 0.002 4.014 normal 0.9951771432510435 1.0009967264354303 240.39339644557313
0.304 0.022 0.4716666666666667 7.42e-05 0.00265 4.014 normal 1.0053021060285725 1.0058765780616616 37.04471701720203
0.304 0.022 0.4716666666666667 7.42e-05 0.0026 4.014 normal 1.004742707158303 1.0057318596281608 23.72998301915064
0.304 0.022 0.4716666666666667 7.42e-05 0.0023 4.014 normal 0.9996347469844472 1.0035779017047275 62.43424453281298
0.304 0.022 0.4716666666666667 7.42e-05 0.0025 4.014 normal 1.0028102248059527 1.0049011178284057 9.419670072472874
0.304 0.022 0.4716666666666667 7.42e-05 0.00245 4.014 normal 1.0019720916563293 1.0042791725262707 13.40884979585799
0.304 0.022 0.4716666666666667 7.42e-05 0.00235 4.014 normal 1.0003115942904055 1.0036357171584218 42.36821314582993
0.304 0.022 0.4716666666666667 7.42e-05 0.0024000000000000002 4.014 normal 1.0011428142150838 1.003822565551049 25.03721227408489
0.304 0.022 0.4716666666666667 7.42e-05 0.00255 4.014 normal 1.0034530992205546 1.0054777490121265 13.648372757662562
0.304 0.022 0.4716666666666667 7.42e-05 0.0029000000000000002 4.014 normal 1.0078439005556712 1.0074343066465714 129.95544547736444
0.304 0.022 0.4883333333333333 7.42e-05 0.002 4.014 normal 0.9979640060454331 1.0013574882112424 240.27416005249546
0.304 0.022 0.4716666666666667 7.42e-05 0.00285 4.014 normal 1.0072827575112497 1.007086985173898 109.47995921432134
