Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering SKFluxNormalization_Below1GeV SKFluxNormalization_Above1GeV ICFluxNormalization_Above1GeV X2 
0.304 0.022 0.32166666666666666 7.42e-05 0.00275 4.014 normal 0.9720497819142596 0.9829904931234914 0.988483820727625 162.79664100663481
0.304 0.022 0.32166666666666666 7.42e-05 0.00255 4.014 normal 0.9686463383964498 0.9819853095174385 0.9879246501305986 114.63141350371188
0.304 0.022 0.32166666666666666 7.42e-05 0.00265 4.014 normal 0.9703388201879598 0.9830685821065207 0.9882182206539346 133.59760320682773
0.304 0.022 0.32166666666666666 7.42e-05 0.0027 4.014 normal 0.9714506354304434 0.9831110269120225 0.9882613220356129 147.78871304527652
0.304 0.022 0.32166666666666666 7.42e-05 0.00295 4.014 normal 0.9779811589466111 0.9828127909638155 0.9895026725288115 226.87630928671047
0.304 0.022 0.32166666666666666 7.42e-05 0.003 4.014 normal 0.9788808589987402 0.9832635995147149 0.9895880570025773 246.22504204519615
0.304 0.022 0.3383333333333333 7.42e-05 0.0022 4.014 normal 0.9671680276661375 0.9839866255912104 0.9895944896887376 163.25722718710378
0.304 0.022 0.3383333333333333 7.42e-05 0.0022500000000000003 4.014 normal 0.9672853065557907 0.9844340711770873 0.9897996534306667 143.43103859156514
0.304 0.022 0.3383333333333333 7.42e-05 0.002 4.014 normal 0.9626830225236572 0.9830118965532337 0.9877934904099014 282.6193584720224
0.304 0.022 0.3383333333333333 7.42e-05 0.00215 4.014 normal 0.965560157040568 0.9838219408944974 0.9890426941921167 185.9448093338978
0.304 0.022 0.3383333333333333 7.42e-05 0.00205 4.014 normal 0.9633377233846885 0.9833589249833087 0.9879573212815964 246.28908664468383
0.304 0.022 0.3383333333333333 7.42e-05 0.0021 4.014 normal 0.9647988122053021 0.9836110924259989 0.9883609168836301 213.71132564376867
0.304 0.022 0.3383333333333333 7.42e-05 0.00235 4.014 normal 0.9695851631313258 0.9852061656100122 0.9898056175713239 109.4210271552524
0.304 0.022 0.3383333333333333 7.42e-05 0.00245 4.014 normal 0.9718723599148777 0.9859038213548986 0.9903187746155802 83.1866036230438
0.304 0.022 0.3383333333333333 7.42e-05 0.0024000000000000002 4.014 normal 0.9707194470549411 0.9855653972903315 0.9899510296128211 94.46358473124279
0.304 0.022 0.3383333333333333 7.42e-05 0.0023 4.014 normal 0.9687803564134485 0.9848417903245769 0.9898046195098053 125.48778750393502
0.304 0.022 0.3383333333333333 7.42e-05 0.0026 4.014 normal 0.9749207669922878 0.9874173191935269 0.9915687121081169 86.83358315485205
0.304 0.022 0.3383333333333333 7.42e-05 0.00255 4.014 normal 0.9737073236704855 0.9867409256092355 0.9913201102689301 79.31406620278203
0.304 0.022 0.3383333333333333 7.42e-05 0.00265 4.014 normal 0.9754386466238091 0.9878713984736922 0.9916351770831454 99.03961486584893
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 4.014 normal 0.9731281587643155 0.9861940744361287 0.9908343555781628 77.3971844255697
0.304 0.022 0.3383333333333333 7.42e-05 0.003 4.014 normal 0.9840705663472041 0.988238854237089 0.993100912346267 215.5627535590434
0.304 0.022 0.3383333333333333 7.42e-05 0.00295 4.014 normal 0.9831489107699654 0.9877679029838677 0.9930082670201567 195.76925789610738
0.304 0.022 0.3383333333333333 7.42e-05 0.0029000000000000002 4.014 normal 0.9823071649186849 0.9872661357189965 0.9928378665349251 177.15228842001432
0.304 0.022 0.3383333333333333 7.42e-05 0.0028 4.014 normal 0.9784334518725912 0.9879547827097745 0.9922086588672588 144.43319083479767
0.304 0.022 0.3383333333333333 7.42e-05 0.00285 4.014 normal 0.9791645624652052 0.9884900249062153 0.9924974957498321 159.51699278941942
0.304 0.022 0.3383333333333333 7.42e-05 0.0027 4.014 normal 0.9765856692192982 0.9879244467783675 0.9916930758954068 113.4971645092517
0.304 0.022 0.355 7.42e-05 0.002 4.014 normal 0.9670651735011421 0.9870556736777246 0.9906600649050944 262.1284530258394
0.304 0.022 0.3383333333333333 7.42e-05 0.00275 4.014 normal 0.9772730583252439 0.9880205545845938 0.9918976008855229 129.0624124815659
0.304 0.022 0.355 7.42e-05 0.00235 4.014 normal 0.9741356091113537 0.9893815463546839 0.9927790838937521 83.94553994418867
0.304 0.022 0.355 7.42e-05 0.00215 4.014 normal 0.9700090618846288 0.9879235692973414 0.9919699875692638 162.8979488795499
0.304 0.022 0.355 7.42e-05 0.0021 4.014 normal 0.9692264952647013 0.9876945918513237 0.9912718678951316 190.99074205395652
0.304 0.022 0.355 7.42e-05 0.0023 4.014 normal 0.9733182041210783 0.9889992019584255 0.9927726072296695 100.79196458184529
0.304 0.022 0.355 7.42e-05 0.00205 4.014 normal 0.9677398212201465 0.9874240263502412 0.9908414389682944 224.57141124294387
0.304 0.022 0.355 7.42e-05 0.0024000000000000002 4.014 normal 0.9753097663351447 0.989758149661477 0.9929382519061534 68.52990959306668
0.304 0.022 0.355 7.42e-05 0.0022 4.014 normal 0.9716702577268903 0.988103735603902 0.9925248277141948 140.05454205706494
0.304 0.022 0.355 7.42e-05 0.0022500000000000003 4.014 normal 0.9717826260889805 0.9885719448719418 0.9927452053571149 119.52086130935358
0.304 0.022 0.355 7.42e-05 0.0028 4.014 normal 0.9832079444572062 0.9922729174857637 0.9953152934577426 121.30468980530004
0.304 0.022 0.355 7.42e-05 0.0026 4.014 normal 0.979611287569742 0.9916893874940598 0.9946153332039225 61.88077480063048
