Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization_Below1GeV FluxNormalization_Above1GeV X2 
0.304 0.022 0.32166666666666666 7.42e-05 0.0021 4.014 normal 0.9589550172600081 0.9846822144658666 246.22090408063156
0.304 0.022 0.32166666666666666 7.42e-05 0.00205 4.014 normal 0.9575663451917158 0.9842933991003885 278.03760561395256
0.304 0.022 0.32166666666666666 7.42e-05 0.00215 4.014 normal 0.9596121782720447 0.9852730958695455 219.30829505492073
0.304 0.022 0.32166666666666666 7.42e-05 0.0023 4.014 normal 0.9627746630620384 0.9860028972207108 160.55581909582367
0.304 0.022 0.32166666666666666 7.42e-05 0.0022500000000000003 4.014 normal 0.9612558339065126 0.9859857030915309 177.78358753240832
0.304 0.022 0.32166666666666666 7.42e-05 0.00235 4.014 normal 0.9636082937348409 0.9860279575697165 145.2922163556204
0.304 0.022 0.32166666666666666 7.42e-05 0.0024000000000000002 4.014 normal 0.9647560273110284 0.9861891583608823 130.8846320027981
0.304 0.022 0.32166666666666666 7.42e-05 0.0022 4.014 normal 0.9611076994162643 0.9857640612390356 196.9352218915374
0.304 0.022 0.32166666666666666 7.42e-05 0.00245 4.014 normal 0.9658650763694508 0.9865255079302928 119.73179328844222
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 4.014 normal 0.9670526055420734 0.9869989234074146 113.73868025279683
0.304 0.022 0.32166666666666666 7.42e-05 0.0027 4.014 normal 0.9705899209565261 0.9879005200589945 148.262415882063
0.304 0.022 0.32166666666666666 7.42e-05 0.0029000000000000002 4.014 normal 0.9744242791967682 0.9888573214116935 208.9473548413113
0.304 0.022 0.32166666666666666 7.42e-05 0.00285 4.014 normal 0.9731454207992313 0.9886188911085365 192.09016019571453
0.304 0.022 0.32166666666666666 7.42e-05 0.00275 4.014 normal 0.9712356327340503 0.9880832536800253 163.28834364893137
0.304 0.022 0.32166666666666666 7.42e-05 0.0028 4.014 normal 0.9723918485044132 0.9883393286078906 177.9032724525767
0.304 0.022 0.32166666666666666 7.42e-05 0.00265 4.014 normal 0.9694992039798029 0.9878712448845237 134.0723233505159
0.304 0.022 0.32166666666666666 7.42e-05 0.0026 4.014 normal 0.9688828071972367 0.9877387989365806 122.21206034003092
0.304 0.022 0.32166666666666666 7.42e-05 0.00255 4.014 normal 0.967619749675653 0.9874633372161786 115.25906653029043
0.304 0.022 0.32166666666666666 7.42e-05 0.003 4.014 normal 0.976466499856425 0.9891500398868003 246.53142476297586
0.304 0.022 0.32166666666666666 7.42e-05 0.00295 4.014 normal 0.9753795012325992 0.9890430961618902 227.19621211181052
0.304 0.022 0.3383333333333333 7.42e-05 0.0022 4.014 normal 0.9662025048153018 0.9891696859307947 163.8163185401153
0.304 0.022 0.3383333333333333 7.42e-05 0.0021 4.014 normal 0.9639940467276907 0.9880217539615568 214.12040634972203
0.304 0.022 0.3383333333333333 7.42e-05 0.002 4.014 normal 0.9618765651112274 0.98745739389005 283.0361846560488
0.304 0.022 0.3383333333333333 7.42e-05 0.0022500000000000003 4.014 normal 0.9663629717986449 0.9893975709718269 143.94395834244716
0.304 0.022 0.3383333333333333 7.42e-05 0.00205 4.014 normal 0.9625643418513997 0.9876364422334948 246.67528967831865
0.304 0.022 0.3383333333333333 7.42e-05 0.00215 4.014 normal 0.9646663963842939 0.988658365088273 186.4337462357352
0.304 0.022 0.3383333333333333 7.42e-05 0.0023 4.014 normal 0.9679291326936421 0.9894340922234253 125.92756974453485
0.304 0.022 0.3383333333333333 7.42e-05 0.00245 4.014 normal 0.971115937763745 0.9899903726925937 83.5347194218087
0.304 0.022 0.3383333333333333 7.42e-05 0.0026 4.014 normal 0.9742069646199433 0.9912561240913635 87.13920829679904
0.304 0.022 0.3383333333333333 7.42e-05 0.00265 4.014 normal 0.9747943960427254 0.9913580385823415 99.29216679152226
0.304 0.022 0.3383333333333333 7.42e-05 0.00235 4.014 normal 0.9687987567092743 0.9894665884400845 109.80010809997559
0.304 0.022 0.3383333333333333 7.42e-05 0.0024000000000000002 4.014 normal 0.9699703849849012 0.9896288617104915 94.8084809121241
0.304 0.022 0.3383333333333333 7.42e-05 0.00255 4.014 normal 0.9729193530602699 0.9909709412606458 79.68481488894572
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 4.014 normal 0.9723294609766795 0.9904809125500824 77.77878511378086
0.304 0.022 0.3383333333333333 7.42e-05 0.00275 4.014 normal 0.9766814893503122 0.9916597317925553 129.329438562167
0.304 0.022 0.3383333333333333 7.42e-05 0.0029000000000000002 4.014 normal 0.9799462382086535 0.9924757606193827 177.28613194054964
0.304 0.022 0.3383333333333333 7.42e-05 0.003 4.014 normal 0.9820340655301263 0.9927732588081448 215.6793892727802
0.304 0.022 0.3383333333333333 7.42e-05 0.0028 4.014 normal 0.9778662837002577 0.9919290841469378 144.71097683047236
0.304 0.022 0.3383333333333333 7.42e-05 0.00285 4.014 normal 0.9786369816809002 0.9922305877740625 159.7646475723973
0.304 0.022 0.3383333333333333 7.42e-05 0.00295 4.014 normal 0.9809314349974493 0.9926624756337901 195.89215091377557
0.304 0.022 0.355 7.42e-05 0.002 4.014 normal 0.9664646775424105 0.9904252157556883 262.36729157621863
0.304 0.022 0.3383333333333333 7.42e-05 0.0027 4.014 normal 0.9759376753474504 0.991412563004013 113.74965237754091
0.304 0.022 0.355 7.42e-05 0.00205 4.014 normal 0.9671735242976174 0.9906219342601079 224.78691542840616
0.304 0.022 0.355 7.42e-05 0.0021 4.014 normal 0.9686265374998042 0.9910338227604806 191.22407942646117
0.304 0.022 0.355 7.42e-05 0.0022500000000000003 4.014 normal 0.9710620866026634 0.9924491136889427 119.83095829966429
0.304 0.022 0.355 7.42e-05 0.0024000000000000002 4.014 normal 0.9747717282431883 0.9927190012060411 68.7116803322763
0.304 0.022 0.355 7.42e-05 0.0022 4.014 normal 0.9709053800046971 0.9922052622748424 140.40135042837227
0.304 0.022 0.355 7.42e-05 0.00215 4.014 normal 0.9693167708390091 0.9916887254089709 163.1919148113653
0.304 0.022 0.355 7.42e-05 0.00235 4.014 normal 0.9735584507540666 0.9925437838823638 84.15273718442525
0.304 0.022 0.355 7.42e-05 0.0023 4.014 normal 0.9726715967929316 0.9925060023857055 101.0461029735624
0.304 0.022 0.355 7.42e-05 0.0025 4.014 normal 0.9771937000505709 0.9936066955632985 51.88492614298197
0.304 0.022 0.355 7.42e-05 0.00255 4.014 normal 0.9777950166544812 0.9940984252907087 54.07784158514683
0.304 0.022 0.355 7.42e-05 0.00245 4.014 normal 0.9759485956165591 0.9930907456235496 57.31795507183946
0.304 0.022 0.355 7.42e-05 0.0028 4.014 normal 0.9827927659062735 0.99507725413485 121.43524125587417
0.304 0.022 0.355 7.42e-05 0.0027 4.014 normal 0.9808875976252627 0.994582866466199 89.22873941589187
0.304 0.022 0.355 7.42e-05 0.00265 4.014 normal 0.9797163197247581 0.9945187688820473 74.40336699039085
0.304 0.022 0.355 7.42e-05 0.0026 4.014 normal 0.9791096795815656 0.9944083265531907 62.03253498014961
0.304 0.022 0.355 7.42e-05 0.00275 4.014 normal 0.981574104531455 0.9947894847019771 105.32299644993836
0.304 0.022 0.355 7.42e-05 0.00285 4.014 normal 0.9837468374474166 0.9954895334802376 137.3177433969082
0.304 0.022 0.355 7.42e-05 0.0029000000000000002 4.014 normal 0.985080329824808 0.9957350646021357 155.31125777769125
0.304 0.022 0.355 7.42e-05 0.00295 4.014 normal 0.98609254728531 0.9959324259954121 174.4625028254912
0.304 0.022 0.355 7.42e-05 0.003 4.014 normal 0.9872036750340327 0.9960355149908264 194.50621311713846
