Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization X2 
0.304 0.022 0.355 7.42e-05 0.00255 4.014 normal 0.9929817724042878 57.71727855136069
0.304 0.022 0.355 7.42e-05 0.00275 4.014 normal 0.993888842419481 107.7002132368955
0.304 0.022 0.355 7.42e-05 0.0026 4.014 normal 0.9933621590624082 65.22991548959668
0.304 0.022 0.355 7.42e-05 0.0028 4.014 normal 0.9942412300324578 123.48537296458669
0.304 0.022 0.355 7.42e-05 0.00245 4.014 normal 0.9919167171983506 61.35566390686493
0.304 0.022 0.355 7.42e-05 0.00265 4.014 normal 0.9935073795855551 77.39387952603347
0.304 0.022 0.355 7.42e-05 0.0025 4.014 normal 0.9924831609921357 55.578519316708125
0.304 0.022 0.355 7.42e-05 0.0027 4.014 normal 0.9936489741333395 91.78470782132878
0.304 0.022 0.37166666666666665 7.42e-05 0.0021 4.014 normal 0.9922380255009903 182.09789224740967
0.304 0.022 0.355 7.42e-05 0.00285 4.014 normal 0.9945975997029568 139.20801199668026
0.304 0.022 0.37166666666666665 7.42e-05 0.00215 4.014 normal 0.9929147607249935 153.65843308933205
0.304 0.022 0.355 7.42e-05 0.00295 4.014 normal 0.9951977318060568 175.78252763799426
0.304 0.022 0.355 7.42e-05 0.003 4.014 normal 0.995387530287206 195.56590357790975
0.304 0.022 0.355 7.42e-05 0.0029000000000000002 4.014 normal 0.9949333857166601 156.86269684350393
0.304 0.022 0.37166666666666665 7.42e-05 0.002 4.014 normal 0.9914861531026393 256.01526145036576
0.304 0.022 0.37166666666666665 7.42e-05 0.00205 4.014 normal 0.9917225734763712 217.02522557861153
0.304 0.022 0.37166666666666665 7.42e-05 0.0025 4.014 normal 0.9953596974143764 37.01354860028545
0.304 0.022 0.37166666666666665 7.42e-05 0.00255 4.014 normal 0.9958693768943359 39.51306089645676
0.304 0.022 0.37166666666666665 7.42e-05 0.0024000000000000002 4.014 normal 0.9943134193719065 54.27231535433543
0.304 0.022 0.37166666666666665 7.42e-05 0.00235 4.014 normal 0.9940606770410432 70.65156758835926
0.304 0.022 0.37166666666666665 7.42e-05 0.0022 4.014 normal 0.9935317480681933 129.98685202353744
0.304 0.022 0.37166666666666665 7.42e-05 0.0022500000000000003 4.014 normal 0.9937686534106321 108.92224481130137
0.304 0.022 0.37166666666666665 7.42e-05 0.00245 4.014 normal 0.9947636687711138 42.42654923545812
0.304 0.022 0.37166666666666665 7.42e-05 0.0023 4.014 normal 0.9939529813294169 88.66228307602768
0.304 0.022 0.37166666666666665 7.42e-05 0.00295 4.014 normal 0.9981603579083969 161.68008176560028
0.304 0.022 0.37166666666666665 7.42e-05 0.00265 4.014 normal 0.9964133016735186 59.942994488219426
0.304 0.022 0.37166666666666665 7.42e-05 0.0027 4.014 normal 0.9965622134122181 74.63960927579065
0.304 0.022 0.37166666666666665 7.42e-05 0.0029000000000000002 4.014 normal 0.9978967552674625 142.21399220410558
0.304 0.022 0.37166666666666665 7.42e-05 0.0028 4.014 normal 0.9971799453943457 107.54204289411089
0.304 0.022 0.37166666666666665 7.42e-05 0.00275 4.014 normal 0.9968156214576217 91.02277279917742
0.304 0.022 0.37166666666666665 7.42e-05 0.0026 4.014 normal 0.9962607538986946 47.52202336197585
0.304 0.022 0.37166666666666665 7.42e-05 0.00285 4.014 normal 0.9975504936105549 124.06825049294314
0.304 0.022 0.37166666666666665 7.42e-05 0.003 4.014 normal 0.9983649854032024 181.791910298443
0.304 0.022 0.3883333333333333 7.42e-05 0.0022 4.014 normal 0.9959544407397584 119.32987660764898
0.304 0.022 0.3883333333333333 7.42e-05 0.002 4.014 normal 0.9938401132952941 247.39914141491184
0.304 0.022 0.3883333333333333 7.42e-05 0.00215 4.014 normal 0.9953191898881988 143.22395861331563
0.304 0.022 0.3883333333333333 7.42e-05 0.0021 4.014 normal 0.9946370846248839 171.86081625614958
0.304 0.022 0.3883333333333333 7.42e-05 0.0022500000000000003 4.014 normal 0.9961987407287187 97.85059061465726
0.304 0.022 0.3883333333333333 7.42e-05 0.0023 4.014 normal 0.9963935802204691 77.03816379434156
0.304 0.022 0.3883333333333333 7.42e-05 0.00205 4.014 normal 0.994091621186658 207.53827577037276
0.304 0.022 0.3883333333333333 7.42e-05 0.0027 4.014 normal 0.9990958118891363 63.7855940165098
0.304 0.022 0.3883333333333333 7.42e-05 0.0025 4.014 normal 0.9978502383587727 24.856792346468485
0.304 0.022 0.3883333333333333 7.42e-05 0.00235 4.014 normal 0.9965209523297021 58.43662797313973
0.304 0.022 0.3883333333333333 7.42e-05 0.0026 4.014 normal 0.9987802865903078 36.160012022640224
0.304 0.022 0.3883333333333333 7.42e-05 0.0024000000000000002 4.014 normal 0.9967793149674926 41.79227994052093
0.304 0.022 0.3883333333333333 7.42e-05 0.00265 4.014 normal 0.9989452893627278 48.82424317353056
0.304 0.022 0.3883333333333333 7.42e-05 0.00245 4.014 normal 0.9972375627245278 29.907143902422305
0.304 0.022 0.3883333333333333 7.42e-05 0.00255 4.014 normal 0.9983762138283964 27.678573799403264
0.304 0.022 0.3883333333333333 7.42e-05 0.0029000000000000002 4.014 normal 1.0005037911881065 133.75760835389
0.304 0.022 0.3883333333333333 7.42e-05 0.00285 4.014 normal 1.000122706349975 115.00518861516613
0.304 0.022 0.3883333333333333 7.42e-05 0.0028 4.014 normal 0.9996259473706246 97.76990344697136
0.304 0.022 0.3883333333333333 7.42e-05 0.00295 4.014 normal 1.0007968717441769 153.59376557999767
0.304 0.022 0.3883333333333333 7.42e-05 0.00275 4.014 normal 0.9993552710950323 80.5627855288896
