Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization_Below1GeV FluxNormalization_Above1GeV FluxTilt NuNuBarRatio FlavorRatio ZenithFluxUp ZenithFluxDown SKEnergyScale FCPCSeparation FCReduction FiducialVolume PCReduction SubGeV2ringPi0 SubGeV1ringPi0 MultiRing_NuNuBarSeparation MultiRing_EOtherSeparation PC_StopThruSeparation Pi0_RingSeparation E_RingSeparation Mu_RingSeparation SingleRing_PID MultiRing_PID DecayETagging SKIV_SKEnergyScale SKIV_FCPCSeparation SKIV_FiducialVolume SKIV_FCReduction SKIV_PCReduction SKIV_SubGeV2ringPi0 SKIV_SubGeV1ringPi0 SKIV_MultiRing_NuNuBarSeparation SKIV_MultiRing_EOtherSeparation SKIV_PC_StopThruSeparation SKIV_Pi0_RingSeparation SKIV_E_RingSeparation SKIV_Mu_RingSeparation SKIV_SingleRing_PID SKIV_MultiRing_PID SKIV_DecayETagging SKIV_NeutronTagging SKGd_SKEnergyScale SKGd_FCPCSeparation SKGd_FiducialVolume SKGd_FCReduction SKGd_PCReduction SKGd_SubGeV2ringPi0 SKGd_SubGeV1ringPi0 SKGd_MultiRing_NuNuBarSeparation SKGd_MultiRing_EOtherSeparation SKGd_PC_StopThruSeparation SKGd_Pi0_RingSeparation SKGd_E_RingSeparation SKGd_Mu_RingSeparation SKGd_SingleRing_PID SKGd_MultiRing_PID SKGd_DecayETagging SKGd_NeutronTagging IceAbsorption IceScattering OptEffHeadon OptEffLateral OptEffOverall CoinFraction XSecNuTau NCoverCC NCHad DIS CCQE CCQENuBarNu CCQEMuE CC1Pi_Pi0Pi CC1Pi_NuBarNuE CC1Pi_NuBarNuMu CC1PiProduction CohPiProduction AxialMass X2 
0.304 0.022 0.37000 0.0000742 0.0026500 4.140 normal 1.0052503005140216 0.9984402533274721 -0.002011588418678517 0.9975021701996843 0.9966109645601735 0.004137251714844242 -0.00823339008166018 1.0 0.9973910780521711 0.9995855663760885 1.000233072035139 1.003803807577321 1.0004334004993367 1.001828127995246 0.9999839108956153 0.991989524754469 0.996579369165039 1.0001384444016304 1.001002923207567 1.0015429362476531 0.9999718303990576 0.9990636150881393 0.996259704834406 1.0 0.9999983379821584 1.0006533503374422 0.9989501161980555 1.0015094589143754 1.0004100746865694 1.000894983649814 0.9976307223014554 0.9987962720346795 0.9966647806875352 1.0000422255820733 1.0009808459011345 1.0010841435825097 1.0002034695297186 0.9994462901372099 0.9989577580269647 1.000755716485398 1.0 0.9999987185008885 1.0009372118416786 0.9994414367165804 1.00120611481857 0.9999569741551196 1.001324861369706 1.0006817488697866 0.9951871394353347 0.9974327384304414 1.0000959495856596 1.0009025558922053 1.0009964487549257 1.000225135260783 0.9988193861474971 0.9991600056163834 1.001574177844322 0.9920140020558922 0.9920140020558922 -0.008984175769634133 24.99101593641662 0.9920140020558922 -0.0079859979441087 1.0132559796732743 1.0008795586517172 1.0008387373091867 0.9999820309412826 1.0046002072902072 1.0086003166066058 1.0032768516208466 1.008751460673533 0.9701187967053784 1.020019848089557 1.0012800562978434 1.0673582768321503 1.0070595726420561 80.63
0.304 0.022 0.37000 0.0000742 0.0023000 4.140 normal 1.0129178880902112 0.9978123847493393 -0.0011672476182526003 1.0046853126874904 0.9949864126805334 0.00914109103978184 -0.006870214681923155 1.0 0.9954006217080116 0.999614073524266 1.0006295426446796 1.0060487470707813 1.0009234845635115 1.0020464434665222 1.000145588281438 0.9928904492622587 0.9963649535105678 1.0002564449568063 1.0001614256229119 1.0020511407186068 0.999824464952012 0.9986271824272777 0.9990151422332649 1.0 0.9999968144231837 1.0016625010506772 0.9975133860700446 1.0035156250525172 1.00198032702016 1.0013178546555015 0.9974329704925361 0.9982532870669797 0.99646405034384 1.0001841925316437 1.001099006105289 1.0015687027927596 1.0000362666514193 0.9992092259887364 1.0005656226508268 1.0010052560562295 1.0 0.9999975541795789 1.001808921040214 0.9985049203979898 1.002662265872967 1.0011250717241804 1.001424141555859 1.0010269811277512 0.9950424902554055 0.9975547491758286 1.0001856920361738 1.0007846016649289 1.0013255243178962 1.0001159498171441 0.9984521686351164 1.0006612937509256 1.0020082833044044 0.9943448363503425 0.9943448363503425 -0.006219844325418225 24.993780219154722 0.9943448363503425 -0.005655163649657047 0.9990418919307655 0.9981254393339415 0.9980840907257986 1.0022062782257777 1.0086183203771297 1.0089747843505477 1.0055049261377855 1.0090635380460402 0.9700224747465906 1.0363072538185534 0.9990690419136693 1.0748421912473012 1.0112884119781136 122.66
0.304 0.022 0.37000 0.0000742 0.0025500 4.140 normal 1.0078575480927034 0.9984883868276517 -0.001657250396252601 0.9978214536880508 0.9963105464367856 0.005333024759576106 -0.010018825007004415 1.0 0.9967578631648994 0.9997347466987179 1.0001661335193899 1.0047900672672276 1.0007866985426594 1.0011781018000714 0.9999743509880021 0.9917693373475518 0.9965328037860427 1.0000074105932497 1.0008657038328288 1.001677222481817 1.000031162899435 0.9989952925754862 0.9981664464583477 1.0 0.9999978503300337 1.0006131615694143 0.9977118758278664 1.00242091549316 1.0011881190472005 1.0009356012047042 0.9976288857475063 0.9985141870968333 0.9964001102721781 1.0000373608449291 1.0008475542572748 1.001184598879093 1.0000345533497912 0.9992705634971697 0.9992149874901014 1.0003235139958047 1.0 0.9999983274115471 1.0009394586628624 0.9985509320769971 1.0018649480478297 1.0005413683289957 1.0011952633869328 1.0007252242893174 0.9944332178397295 0.9976905701349644 1.0000849761829336 1.000852558668232 1.0010924470108833 1.0001117066916316 0.998788004082629 0.9993545270963027 1.0012336687504964 0.993524181981028 0.993524181981028 -0.007248987947792346 24.992751098959218 0.993524181981028 -0.00647581801897075 1.0089023026201807 0.9998256866397678 0.9997831270131132 1.000195117688463 1.0062911003462272 1.0089435154159465 1.003876592515354 1.0091042549348914 0.9697690451094171 1.0254369967726789 1.0002141625298082 1.0704943766124342 1.0079731633216593 46.79
0.304 0.022 0.37000 0.0000742 0.0024500 4.140 normal 1.0053785307381722 0.9976368798712589 -0.0029963314375101254 1.0019945940048156 0.9959796638402647 0.0047697453945007165 -0.008030826241672262 1.0 0.9975132176467949 0.9992404543601874 1.0007574828314247 1.0036440401928008 1.0007078955009028 1.001434537508833 1.0000525045597717 0.992131239767455 0.9969548006684684 1.0000774617234665 1.0006754500044404 1.0017966979691753 0.999954277001079 0.9986882073506786 0.9998416601170923 1.0 0.999997464409272 1.000881768404817 0.9990691770044792 1.0016431476093266 1.0012171851475462 1.0011949275862522 0.99760244503215 0.9990099837438396 0.9968475120788127 1.0001010838347857 1.0004615047477696 1.0014045160015248 1.0000923955538645 0.9994315859659925 1.0000120307553748 1.0005809473699434 1.0 0.9999979214741492 1.0012679409451843 0.9998000744089964 1.0011882475058016 1.0012829212132197 1.0010392448790169 1.0008968735525317 0.9940653540651897 0.9977236635628357 1.0000581588623165 1.0004006840382689 1.0012833594792787 1.000154282498146 0.9980787685147395 1.0000485564207264 1.0013478044707422 0.9938013631405835 0.9938013631405835 -0.0069046924021346715 24.993095386969937 0.9938013631405835 -0.00619863685941512 1.0037102049873132 1.0014129062844772 1.001374346442817 1.0014346936637128 1.0043773339272366 1.0085957840762303 1.0041311921022267 1.0099424002348845 0.9704676330698905 1.030117551658666 1.0015517919106725 1.0734432870390047 1.0101202645722318 50.60
0.304 0.022 0.37000 0.0000742 0.0024000 4.140 normal 1.0075260335609875 0.997539253312175 -0.002622763258981681 1.003335618425509 0.9949978149882074 0.008141925545327314 -0.009827580614507557 1.0 0.9958137314364637 0.9993532242933029 1.0003106547720007 1.0045753223692235 1.000800471091421 1.0018898284687963 1.000074370049 0.9924037955596121 0.9967471773392702 1.000176176078841 1.0003455094179559 1.001862021665338 0.9998410224641242 0.9987113706833741 0.9994556042238305 1.0 1.0000061632778434 1.0004950777573072 0.9976772303198216 1.002467547419185 1.0010562666034781 1.00124779792411 0.9975098301706943 0.998817725418052 0.9966623949655992 1.0001238802993224 1.0003568551916744 1.0013901468562234 0.9999735243494421 0.9992723611036997 1.000076297476301 1.0006208638042111 1.0 0.9999977562138136 1.0011365445147171 0.99894548540548 1.0017601578434845 1.0013630275019947 1.0010697247784415 1.0009489430849838 0.9942486910128594 0.9975993992062919 1.0000671002039787 1.0003293913625713 1.001264767015797 1.000021398030194 0.9983878974359476 1.0003915545770488 1.001361574655882 0.9939435688398628 0.9939435688398628 -0.006695569083865116 24.993304502762637 0.9939435688398628 -0.006056431160138245 1.0009770184717304 1.0002607829344432 1.0002203129512555 1.0013195798091536 1.0054224920875077 1.0085686404383554 1.004538121292308 1.0094717622599652 0.9703173310150996 1.0323382450753225 1.0001628754373826 1.0727951003378826 1.010495152965086 67.81
0.304 0.022 0.37000 0.0000742 0.0025000 4.140 normal 1.005909647173744 0.9980071856176054 -0.0025501544215964416 1.0007898410871632 0.9957912583106745 0.006332654703561364 -0.008810087016895783 1.0 0.9964682131096245 0.9995884005026735 1.0004393891409458 1.0040539399207529 1.0008840209490582 1.001215473659202 1.00001804771049 0.9918060504292003 0.9969502285502001 1.0000168849655307 1.000687705990101 1.0015995833312765 0.9999374284030167 0.9989617369625571 0.9990822237113531 1.0 0.9999977004280411 1.0005168673902136 0.9981772115970888 1.0020057470625794 1.0009467925765603 1.0010580324104306 0.9976028718887157 0.9987979292337639 0.9968122112250801 1.0000798042125512 1.000475358543875 1.0011711794876434 1.0000059590822814 0.999348058271829 0.9995874675997646 1.0004975927038893 1.0 0.9999981408088365 1.0008508887749092 0.9989553359847932 1.0014941740863457 1.0007312742237058 1.0010473046371613 1.000814671113723 0.9940735674051321 0.9978743830325585 1.0000675767781126 1.0005262703367233 1.0011115593834026 1.0001208843548308 0.9987271484211947 0.9997207691035976 1.0012786818596082 0.9940464867132128 0.9940464867132128 -0.006636156652775977 24.99336392008031 0.9940464867132128 -0.005953513286786115 1.0053902537055728 1.000597046937758 1.0005592057351282 1.0007290679409209 1.0048273666680942 1.0080434548528305 1.0036614575823006 1.0088221480912882 0.969688968859095 1.026915168864831 1.0006808055721925 1.0668658606804438 1.0084679525809135 42.32
0.304 0.022 0.37000 0.0000742 0.0026000 4.140 normal 1.0042924734573868 0.9983646926638343 -0.0021048682577230245 0.9996904138484706 0.9974884698805819 0.002273931238848635 -0.006161310988707747 1.0 0.9989506038972842 0.9994495345872931 1.0008323243044004 1.0030350148108291 1.0006039044223878 1.0011644950797265 0.9999984070900507 0.9917209592769989 0.9970471657680655 1.0000416804571095 1.0009424049248457 1.0014466525291912 1.0000618525243552 0.9987103118340432 0.9970340540850828 1.0 0.9999981772345266 1.0010543506642116 0.9999286985722513 1.0010592901723305 1.0006031805740816 1.0007736592433614 0.9976639691156942 0.9990539110028583 0.9970404913982455 1.0000496048970935 1.0009049987367158 1.0011180699939008 1.0001527988239491 0.9999624760939062 0.9993394043813901 1.000553893252606 1.0 0.9999985670865703 1.001233035895926 1.0002260218983037 1.0008319008878246 1.0004373326820506 1.0011169683663317 1.0007438840927254 0.994741107652578 0.9979039172043004 1.0000777693981804 1.0007384283266332 1.0010083284166966 1.0002679877526988 0.9985148184982523 0.9994178484385792 1.0013885319667495 0.9936191745465291 0.9936191745465291 -0.007167545719835571 24.992832542707763 0.9936191745465291 -0.006380825453470988 1.0090315969464485 1.0014968948547478 1.0014635254630244 1.0007706762354507 1.0038602877084262 1.0078851478025712 1.0031349838863604 1.0085645744463843 0.9700264085766646 1.0204085041158266 1.0019816556175924 1.0634915530302849 1.0073716968963629 62.46
0.304 0.022 0.37000 0.0000742 0.0023500 4.140 normal 1.0093849707751206 0.9973957650266982 -0.0021805951501869462 1.004136865998062 0.9948964261114778 0.00867746930590059 -0.00896240652271161 1.0 0.9955435108610147 0.9993599346293733 1.0004860947815275 1.0049365740624974 1.00084782561044 1.0020161279816957 1.0001011376572442 0.992672170279702 0.9966521826720842 1.000219432490751 1.0002262979633436 1.0019685493642445 0.999838906061284 0.9985738800220737 0.9991762173454399 1.0 1.000008510368454 1.000976093109817 0.9978190443637833 1.0027379819228506 1.001174466856409 1.001296704394551 0.997467704998247 0.9987057396751386 0.9966586739707751 1.000158547022315 1.0006999257335978 1.0015223363326404 0.9999685525891853 0.9992665054423363 1.0006409350671568 1.000790037104118 1.0 0.9999976184939274 1.0014372445147115 0.9989686829260408 1.001989620511024 1.0012299986388682 1.0011501793506887 1.001008043704477 0.994623603019182 0.9976105218511437 1.0001012994089393 1.0004653426070031 1.0013109489628933 0.9999994975216937 0.998334380465771 1.0007877113550632 1.001801258714711 0.9944758550302145 0.9944758550302145 -0.006096849119145913 24.993903215262005 0.9944758550302145 -0.005524144969787391 0.9981639612357289 0.9996698758693154 0.9996302123941386 1.001609301053866 1.0065315354233542 1.0087154713351059 1.0049783825517655 1.0093562057886178 0.9702421666230466 1.034609890771613 0.9999349685212804 1.0739748390578714 1.0109519105940266 93.95
0.304 0.022 0.39500 0.0000742 0.0025000 4.140 normal 1.002255447924528 0.999671078012853 -5.160141985126656e-05 0.9999544690118954 0.9994193117721173 -0.0003266539497233335 -0.00041345483692787347 1.0 1.0003685721437248 1.000001601842859 1.0008209279863998 1.0015919814782148 1.0004871454658668 1.000698350589576 1.0000188162697572 0.993538112520222 0.9980283455523331 1.0000163457507658 1.000810274784568 1.0008207226015127 0.9999536341785281 0.9994188836602311 0.9966546636256295 1.0 0.9999988832088162 1.0008537840389875 1.0005393179752415 1.000358681354138 1.0005106092848997 1.00060804890542 0.9979051921511756 0.9994833916812861 0.9980021431532933 1.0000546893560385 1.0006693822670827 1.0006302809287906 1.0000196684934914 0.9995838215080662 0.9993461097899939 1.0004973113990254 1.0 0.9999995558901418 1.0008197867233666 1.0005058275177119 1.000267349977243 1.0004095847178505 1.000610629538108 1.0007247945209528 0.9952657661785921 0.9911513906730572 1.0000407616634355 1.0005401465118426 1.0006124832705567 0.9999554268772092 0.9995426344013464 0.9968101223772118 1.0011665186053154 0.9972774744168449 0.9972774744168449 -0.003065209326383805 24.996934829221097 0.9972774744168449 -0.0027225255831549063 0.9954799916924525 0.9998954320976927 0.9998930486397829 1.0006238432000518 1.0020766206834624 1.0051470313105524 1.0017762034947841 1.004361305266837 0.9725676226771328 1.0104704970153686 1.0014209204047506 1.0347295466215147 1.0004815665691273 25.41
0.304 0.022 0.39500 0.0000742 0.0023000 4.140 normal 1.005519903762907 0.9990895670184985 -0.00018030194567853592 1.0012466286554744 0.9985327430985806 0.0013110035193421906 0.0002001389096146536 1.0 0.9992110485589176 0.9994260874585206 1.000932002287059 1.0021967245263352 1.0004910037357233 1.001457337114811 1.0001078885997339 0.9945500691895754 0.9978337184765056 1.0001154616991643 1.0009000153508116 1.0012450190333075 0.9997631104286832 0.9989518146721063 0.9982565849431358 1.0 0.9999979717148222 1.0011921040120508 1.000211856503248 1.0008279267660203 1.0012119063817808 1.000831456087512 0.9977833349023095 0.9993037588401609 0.9979779992383102 1.0000783076142978 1.0009208014453728 1.0009947861008623 0.9998161516402788 0.9995932862889182 0.999450919874099 1.000716244049312 1.0 0.9999984510735269 1.0011909913744252 1.0003391115503806 1.0006411059467792 1.000702888085317 1.0009575359670841 1.000974114121492 0.9962108271870052 0.9983405103445524 1.0000787737772157 1.0007223739486744 1.0008886547474567 0.9997449385952755 0.9984608494695646 0.9995165150781025 1.0018261420626928 0.9979289840216674 0.9979289840216674 -0.0023182817275379775 24.997681746090134 0.9979289840216674 -0.0020710159783330646 0.9619547586116954 0.9996408751551755 0.999632793749379 1.0010915080925702 1.0041280000582475 1.0061759515119666 1.002867746256977 1.0054268788697749 0.9733348303747823 1.0116870560611808 1.001005283233487 1.0468631744973649 1.0041626899762501 103.97
