Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization_Below1GeV FluxNormalization_Above1GeV FluxTilt NuNuBarRatio FlavorRatio ZenithFluxUp ZenithFluxDown ORCAEnergyScale ShowerClassification TrackClassification IntermediateClassification XSecNuTau NCoverCC NCHad DIS CCQE CCQENuBarNu CCQEMuE CC1Pi_Pi0Pi CC1Pi_NuBarNuE CC1Pi_NuBarNuMu CC1PiProduction CohPiProduction AxialMass X2 
0.304 0.022 0.30500 0.0000742 0.0025500 4.140 normal 1.0 0.9925067282258633 -0.01798056274707809 1.0254226859026283 1.0066655757136012 -0.27548553631097633 -0.0557726325596282 1.0 0.9363698246791949 0.9934768522074816 1.0924423162501737 0.9512223352936543 1.0402111731558565 1.0393727213027713 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2268048221178613 470.79
0.304 0.022 0.30500 0.0000742 0.0025000 4.140 normal 1.0 0.990457144311262 -0.020831886044940975 1.0265664342784104 1.0062600894769793 -0.303188541558945 -0.05771378401162119 1.0 0.9344877919243355 0.9927175178006745 1.0947663143860311 0.9569865684000036 1.0433969790229907 1.0424902063304458 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2409466161456875 420.08
0.304 0.022 0.30500 0.0000742 0.0029500 4.140 normal 1.0 0.9895098773775605 -0.021921813886729053 1.0253084667297574 0.9968975015837028 -0.13893790178332002 -0.055054864326158866 1.0 0.9428358861429197 1.0054036213063287 1.0838704834683937 1.00638652324753 1.0084800995010164 1.0083062112708885 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2100336808769845 1577.55
0.304 0.022 0.30500 0.0000742 0.0030000 4.140 normal 1.0 0.9870874513887923 -0.022836730196382642 1.0259221503626548 1.000067904722238 -0.13111560790060053 -0.05766989059829884 1.0 0.9423727123858363 1.0065498865810174 1.0843377797132678 1.0157118868473707 1.0040172424363414 1.0039350395050013 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2136565506892272 1885.57
0.304 0.022 0.30500 0.0000742 0.0028500 4.140 normal 1.0 0.9880188141619886 -0.02060140938081994 1.0241429332238599 1.0038060528971786 -0.19520747212946404 -0.09105808571057826 1.0 0.9370427548559509 0.9961942809523878 1.0831007825385597 0.9857306551853566 1.017299442001312 1.016943222200145 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2165966783760844 1029.79
0.304 0.022 0.30500 0.0000742 0.0028000 4.140 normal 1.0 0.9884833281437977 -0.018284935520624195 1.023653249807604 1.0048795360577412 -0.2223613200626472 -0.0985879486588172 1.0 0.935795333780899 0.993845456449858 1.0830101611542493 0.9728158345801611 1.021602792749814 1.0211570298796255 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2208643621090838 863.73
0.304 0.022 0.32605 0.0000742 0.0020500 4.140 normal 1.0 1.005858271673254 -0.0035405133294159324 1.0233740044036146 1.0089320260629875 -0.2747682101464513 -0.05515353241966274 1.0 0.9515312234720371 1.000498096602573 1.087840866505103 0.9529670823201726 0.9197227006391878 0.9301615667774357 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2393968580535102 1361.68
0.304 0.022 0.30500 0.0000742 0.0029000 4.140 normal 1.0 0.9892757635045081 -0.02137255647867115 1.0247696713618253 1.0025481732634405 -0.14418941674253755 -0.05520122626781644 1.0 0.9417449907887385 1.0010474913592524 1.0864215543993003 0.999078864661224 1.0128111975693166 1.012547951571975 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2015277967717273 1270.48
0.304 0.022 0.32605 0.0000742 0.0020000 4.140 normal 1.0 1.0125038452480446 0.0015164066973383872 1.023086780334669 1.0105009322085863 -0.27615059936245795 -0.043069854611193864 1.0 0.9546640900425907 1.0034881149169768 1.090463629406482 0.9422992873856395 0.9047713666592743 0.9184309302654761 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2393908212846285 1379.59
0.304 0.022 0.32605 0.0000742 0.0021000 4.140 normal 1.0 1.0045368926449958 -0.007843998946572745 1.0235994001422866 1.0074049340115727 -0.2681848012507666 -0.06187831761725086 1.0 0.9500139005975289 1.0007455279251596 1.087007426805529 0.9667421768042914 0.9316008366619615 0.9404146830974051 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2361974641221576 1360.54
0.304 0.022 0.32605 0.0000742 0.0022500 4.140 normal 1.0 0.9981331511952835 -0.0173422513477809 1.022892192938424 1.0049040967075098 -0.2525144174459349 -0.05908448739933643 1.0 0.9445729503626794 0.9979798686861446 1.0828191177731612 0.9837025660727122 0.9741165258532829 0.9791211553484859 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2212288811814873 1114.69
0.304 0.022 0.32605 0.0000742 0.0024000 4.140 normal 1.0 0.989450572726134 -0.022974209478435894 1.0195914163985984 1.0053944637139718 -0.26009180652373476 -0.045795958368382884 1.0 0.9406434783422833 0.9925559472750194 1.0847653934656636 0.9806010752612895 1.0437903105282857 1.0428750148316088 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2014597335899468 450.74
0.304 0.022 0.32605 0.0000742 0.0022000 4.140 normal 1.0 0.9977316946371151 -0.016583940827642578 1.023431024095106 1.0053107068706288 -0.26090716502824085 -0.0679276411794093 1.0 0.9445893782186614 0.9962890453594777 1.08474448496241 0.9803861079093821 0.9663408065513817 0.9725486659233246 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2262839966981083 1268.36
0.304 0.022 0.32605 0.0000742 0.0021500 4.140 normal 1.0 1.0022654914561926 -0.012299323537813683 1.0236905833705383 1.0061399021102908 -0.2615033832870158 -0.05923988723875293 1.0 0.947791455912596 1.0000034634020463 1.0862473189502784 0.9755431229742936 0.9456212830815266 0.9531654494553929 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2307050593006228 1342.96
0.304 0.022 0.32605 0.0000742 0.0023000 4.140 normal 1.0 0.9940302409392603 -0.024341757128195942 1.0219956276699658 1.0029414654752917 -0.2462171286101293 -0.04026472835040826 1.0 0.9392684065054828 0.9920357071175387 1.086432106294423 0.9940546777669141 1.0170053902799765 1.0224710889457214 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1975485450666905 897.27
0.304 0.022 0.32605 0.0000742 0.0025000 4.140 normal 1.0 0.992530784486892 -0.01614663375832989 1.016884130996485 1.0068469397353916 -0.2330452018612116 -0.045373203197005364 1.0 0.9454694300829017 0.9943473967754024 1.0788173032045416 0.9637962647483618 1.0373025495585169 1.036526256588425 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1869744234851243 284.42
0.304 0.022 0.32605 0.0000742 0.0023500 4.140 normal 1.0 0.9930555142350287 -0.023502288963565574 1.0208771540496753 1.0051838611651625 -0.25049710815670967 -0.04583781095172314 1.0 0.9400600581109037 0.9919542531156205 1.0835961243642434 0.9832451588996283 1.0262012973283103 1.0302593801425681 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2020691864764474 659.07
0.304 0.022 0.32605 0.0000742 0.0024500 4.140 normal 1.0 0.9902675060748165 -0.02061413709429324 1.018205252201225 1.0062916099596864 -0.23383857602029973 -0.04286026817483496 1.0 0.9413591703111993 0.9924871608406305 1.0824570035899928 0.9822661561612076 1.0405550077200219 1.0397091862923267 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.181974622639665 317.99
0.304 0.022 0.32605 0.0000742 0.0029000 4.140 normal 1.0 0.9950421830392343 -0.016679592046652158 1.0148136602460154 0.9933982327658815 -0.07882510172445607 -0.040808207574741295 1.0 0.9555172485985263 1.0050733157421405 1.067261231717783 1.0027454081123772 1.0057683990945168 1.0056504188363338 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.149810897402158 1156.77
0.304 0.022 0.32605 0.0000742 0.0027000 4.140 normal 1.0 0.9949964546940867 -0.010418294817451218 1.0135733865282452 1.0070440568126107 -0.13658247769112214 -0.039498916803706326 1.0 0.9531918867656562 0.9996766560899853 1.0735310593376077 0.9616335752991382 1.0233172075018366 1.022836116043691 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1471490824744057 564.04
0.304 0.022 0.32605 0.0000742 0.0028000 4.140 normal 1.0 0.9936733296405778 -0.012619687294852855 1.0136752292086975 1.0055208626259526 -0.10449905004957512 -0.04028316976531967 1.0 0.9522445749491754 1.0011310322950122 1.0713624244941007 0.9851025136789199 1.0148240102670245 1.01451949689647 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1408967478795504 713.79
0.304 0.022 0.32605 0.0000742 0.0026000 4.140 normal 1.0 0.9934938558141784 -0.011147360906112583 1.0147154697212817 1.0074560836863884 -0.22449587726743078 -0.07109445709263985 1.0 0.9426375392333043 0.9941893843286405 1.0718179481262884 0.9554415479497399 1.0290579482944813 1.0290717425285292 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1854187912930196 431.05
0.304 0.022 0.32605 0.0000742 0.0028500 4.140 normal 1.0 0.9924440540360402 -0.015282653627875387 1.0142103053791165 1.0043499905838869 -0.08003163919250912 -0.038819111902557976 1.0 0.9522894059327245 1.001933911053926 1.0710452865217797 0.9996307146652481 1.0103236959665245 1.0101120880566068 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.138491248888526 890.11
0.304 0.022 0.32605 0.0000742 0.0025500 4.140 normal 1.0 0.995126387608499 -0.013001594010179845 1.0156556469253726 1.007282382648317 -0.191722992544802 -0.04337248550532118 1.0 0.9474577765784278 0.9947964088218699 1.0760747739378584 0.9569994457141746 1.034019448240115 1.0333130110155309 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1711482994832816 334.15
