Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization_Below1GeV FluxNormalization_Above1GeV FluxTilt NuNuBarRatio FlavorRatio ZenithFluxUp ZenithFluxDown X2 
0.304 0.022 0.36816 0.0000742 0.0025000 0.000 normal 1.0016499868773052 1.0074679767062567 -0.005184729936421009 1.0055527518201464 0.9841362058643933 0.017367503561038174 -0.05632327624560324 27.46
0.304 0.022 0.36816 0.0000742 0.0025000 0.331 normal 1.0020767277627967 1.0082013432407084 -0.005059103019816709 1.0056775461713412 0.9817363638206816 0.01661319981586373 -0.05652553224628132 27.37
0.304 0.022 0.36816 0.0000742 0.0025000 0.992 normal 1.0014711468478175 1.0082374900902646 -0.0048725428865911795 1.0055723404719163 0.9814770177244813 0.015562609455614981 -0.05696970424100433 25.55
0.304 0.022 0.36816 0.0000742 0.0025000 0.661 normal 1.0023002231048515 1.00851003973299 -0.0048583689689527245 1.005757244331517 0.9808037359626064 0.015965557017497134 -0.057173557042559206 26.68
0.304 0.022 0.34711 0.0000742 0.0025000 6.280 normal 1.0015724143911522 1.008861005730227 -0.006148597616592815 1.0072508965848856 0.9868242940012671 0.024385964627854664 -0.07994874743509908 43.10
0.304 0.022 0.36816 0.0000742 0.0025000 1.322 normal 1.0007413284181956 1.0082527293416215 -0.0048685776531822616 1.004597853737265 0.9836582931224136 0.015510698988526191 -0.055448762570475395 24.26
0.304 0.022 0.36816 0.0000742 0.0025000 3.636 normal 1.0010513231109832 1.0034592952455959 -0.005854137352552489 1.003564091290508 0.9968090458143444 0.02104046973584919 -0.05719643618895403 16.66
0.304 0.022 0.36816 0.0000742 0.0025000 2.644 normal 0.9984452866595154 1.0032325228344399 -0.004811100370987412 1.004855947932471 0.9996735599345052 0.01877306226704212 -0.05475810513838102 20.78
0.304 0.022 0.36816 0.0000742 0.0025000 1.983 normal 0.9992442517580071 1.0054665725359553 -0.00471169382456049 1.0051647544785496 0.9915296432768181 0.01662672553563859 -0.05504782738759495 22.12
0.304 0.022 0.36816 0.0000742 0.0025000 2.314 normal 0.9991926484964817 1.0049279543498568 -0.004643966652448102 1.0045982250641015 0.9963201388101398 0.01765210389414257 -0.05396112060032109 21.59
0.304 0.022 0.36816 0.0000742 0.0025000 2.975 normal 1.001048082264962 1.0038377897253556 -0.004879118047446539 1.0043903887037162 0.9983287513092896 0.019807513949724853 -0.05499591653806993 18.49
0.304 0.022 0.36816 0.0000742 0.0025000 3.305 normal 1.0007651488866256 1.0032920276834656 -0.005598218330189493 1.0036342234401099 0.997338869557278 0.020592133416043774 -0.056724864563220456 17.14
0.304 0.022 0.36816 0.0000742 0.0025000 1.653 normal 1.000816893798447 1.006978839333061 -0.004512885174175885 1.0054293065843039 0.9871417913624391 0.01587389011200853 -0.05555314221752208 23.04
0.304 0.022 0.36816 0.0000742 0.0025000 5.619 normal 0.9995743646301728 1.0049092080590634 -0.005294051624797218 1.0054076574509567 0.9921811906522635 0.018853979493831864 -0.05655523538350305 26.10
0.304 0.022 0.36816 0.0000742 0.0025000 4.627 normal 1.0000519750596601 1.0032750420374286 -0.005524638904510608 1.00415466094087 0.9982039617411411 0.020598807580035645 -0.055577920143750986 20.03
0.304 0.022 0.36816 0.0000742 0.0025000 5.288 normal 0.9987078203398396 1.003599710517373 -0.005251665847057008 1.0053284138363405 0.9969188262592449 0.019505401954637548 -0.05552463960373515 25.07
0.304 0.022 0.36816 0.0000742 0.0025000 4.958 normal 0.9986587591952737 1.0028897745278558 -0.005491511319795619 1.0043933790449133 0.9995054253236191 0.019934582601224472 -0.0536337688736952 23.13
0.304 0.022 0.36816 0.0000742 0.0025000 3.966 normal 1.0008038391143068 1.0033281504213025 -0.005978695888126382 1.0034792958651024 0.9967813496463245 0.0211511367128345 -0.05699730785765585 16.93
0.304 0.022 0.36816 0.0000742 0.0025000 6.280 normal 1.001647208408651 1.007459426024791 -0.005185349643197403 1.005553616519839 0.984170311193339 0.01737679840160518 -0.05631912409101659 27.46
0.304 0.022 0.36816 0.0000742 0.0025000 5.949 normal 1.0005755778901522 1.0061675425632424 -0.005298410633401871 1.0055005353103368 0.9877804415510351 0.01814085164886879 -0.056546828253546434 26.98
0.304 0.022 0.36816 0.0000742 0.0025000 4.297 normal 0.9999550990306401 1.003025015873891 -0.00598062652310505 1.0036169731585267 0.997264105731339 0.02097652723540569 -0.057286192659495694 18.02
0.304 0.022 0.38921 0.0000742 0.0025000 1.322 normal 1.001372956807995 1.0068793491635188 -0.00376158744227016 1.0034149850975176 0.9813137710765931 0.009512409549693181 -0.038032759317909864 14.40
