Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization_Below1GeV FluxNormalization_Above1GeV FluxTilt NuNuBarRatio FlavorRatio ZenithFluxUp ZenithFluxDown ORCAEnergyScale ShowerClassification TrackClassification IntermediateClassification XSecNuTau NCoverCC NCHad DIS CCQE CCQENuBarNu CCQEMuE CC1Pi_Pi0Pi CC1Pi_NuBarNuE CC1Pi_NuBarNuMu CC1PiProduction CohPiProduction AxialMass X2 
0.304 0.022 0.30500 0.0000742 0.0026500 4.140 normal 1.0 0.9977600692546066 -0.017000914146332858 1.0220839865069036 1.0092914102813557 -0.15949603235050308 -0.05973025715228109 1.0 0.931637292986588 0.9895152178457783 1.0829573828169738 0.9575518507074575 1.0340249998402862 1.0332061323587318 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.219763704256744 369.48
0.304 0.022 0.30500 0.0000742 0.0025500 4.140 normal 1.0 0.9907313454453918 -0.01919931229193729 1.0236893367149298 1.0093868255026885 -0.20614324566592032 -0.06180218018668195 1.0 0.9357745218742763 0.9936503698687003 1.0933093663190925 0.9541540545272654 1.040090685095652 1.0391223472494893 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2311594954047682 302.11
0.304 0.022 0.30500 0.0000742 0.0026000 4.140 normal 1.0 0.9927662266735486 -0.017860860102764647 1.0229329786020567 1.009309526168015 -0.1824781906231842 -0.06175474604479923 1.0 0.9345995361261152 0.993331840993628 1.0894609086596503 0.9560579576917084 1.0369601162380926 1.0360690193925968 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2262217733546117 330.96
0.304 0.022 0.30500 0.0000742 0.0024500 4.140 normal 1.0 0.988267821365705 -0.020573863320502383 1.02504483337533 1.009683248939501 -0.23551062535827272 -0.05981170912369428 1.0 0.9366992475952932 0.9929269594603243 1.1000747603683882 0.9492385199169938 1.0468041311793992 1.0456694258726027 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2417178477928859 278.76
0.304 0.022 0.30500 0.0000742 0.0025000 4.140 normal 1.0 0.9910329784941793 -0.020535212911957812 1.0244078995978545 1.0095056260566428 -0.20854002887659978 -0.060610744870116494 1.0 0.9345692798366975 0.991673783068756 1.0952974118546814 0.951914093679662 1.0433669341812093 1.0423175252620616 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2382351155492528 284.28
0.304 0.022 0.30500 0.0000742 0.0024000 4.140 normal 1.0 0.9896410562907164 -0.020125441065662334 1.0256767947086 1.009895380018694 -0.2391113531213304 -0.05789335420733617 1.0 0.9350980804785682 0.9909968621710643 1.1018254356033583 0.9461982773254736 1.0503151624005556 1.049093040602239 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2435304728083068 285.52
0.304 0.022 0.30500 0.0000742 0.0030000 4.140 normal 1.0 0.9941688084974838 -0.010421435200731778 1.0190190901553597 1.0061629705222215 -0.07284376906908611 -0.05823756022247167 1.0 0.9471918334371041 1.0015963725299801 1.0813855411283517 0.9696861449445765 1.0110363135079146 1.0107739741834338 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1946356276965018 821.43
0.304 0.022 0.30500 0.0000742 0.0029500 4.140 normal 1.0 0.9941638574955971 -0.010269887544305988 1.018870513039169 1.0072237856747428 -0.08443144753722767 -0.06063262384084436 1.0 0.9449728517060567 1.0004257506570984 1.0818021573254524 0.9667667803439963 1.0150852919603506 1.0147260571257477 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1962657813392694 747.12
0.304 0.022 0.30500 0.0000742 0.0029000 4.140 normal 1.0 0.9942469133813401 -0.011457562341187647 1.0190043747154183 1.0079688288645638 -0.08148220839371687 -0.0522814857152141 1.0 0.9445066643244787 0.9996217946275054 1.0841283884697726 0.9646608232462225 1.0186848033398381 1.0182390663084582 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.18888169091571 672.10
0.304 0.022 0.30500 0.0000742 0.0028500 4.140 normal 1.0 0.9948789231623877 -0.01201527983449872 1.0192948702631368 1.008609923953213 -0.09925311749098124 -0.051968946025042616 1.0 0.9420723871636416 0.9986489655921517 1.0840929106548702 0.962695079537966 1.0221782352540827 1.0216482169907133 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.192839899766444 600.82
