SqT23 DM31 X2
0.336656 0.00257 97.114
0.336656 0.00258 104.719
0.336656 0.00259 113.704
0.336656 0.0026 123.486
0.336656 0.00261 133.312
0.336656 0.00262 142.376
0.336656 0.00263 149.952
0.336656 0.00264 155.522
0.336656 0.00265 158.867
0.336656 0.00266 160.101
0.336656 0.00267 159.637
0.336656 0.00268 158.099
0.336656 0.00269 156.199
0.336656 0.0027 154.596
0.336656 0.00271 153.785
0.336656 0.00272 154.025
0.336656 0.00273 155.33
0.336656 0.00274 157.515
0.336656 0.00275 160.29
0.336656 0.00276 163.362
0.336656 0.00277 166.542
0.336656 0.00278 169.802
0.336656 0.00279 173.295
0.345189 0.0023 169.382
0.345189 0.00231 167.388
0.345189 0.00232 166.541
0.345189 0.00233 166.613
0.345189 0.00234 167.139
0.345189 0.00235 167.485
0.345189 0.00236 166.948
0.345189 0.00237 164.891
0.345189 0.00238 160.859
0.345189 0.00239 154.668
0.345189 0.0024 146.445
0.345189 0.00241 136.607
0.345189 0.00242 125.788
0.345189 0.00243 114.725
0.345189 0.00244 104.136
0.345189 0.00245 94.6071
0.345189 0.00246 86.5138
0.345189 0.00247 79.9977
0.345189 0.00248 74.991
0.345189 0.00249 71.2884
0.345189 0.0025 68.6419
0.345189 0.00251 66.8586
0.345189 0.00252 65.8723
0.345189 0.00253 65.7744
0.345189 0.00254 66.7935
0.345189 0.00255 69.2277
0.345189 0.00256 73.3466
0.345189 0.00257 79.2865
0.345189 0.00258 86.9648
0.345189 0.00259 96.0384
0.345189 0.0026 105.918
0.345189 0.00261 115.842
0.345189 0.00262 124.992
0.345189 0.00263 132.632
0.345189 0.00264 138.238
0.345189 0.00265 141.59
0.345189 0.00266 142.804
0.345189 0.00267 142.305
0.345189 0.00268 140.73
0.345189 0.00269 138.803
0.345189 0.0027 137.194
0.345189 0.00271 136.406
0.345189 0.00272 136.697
0.345189 0.00273 138.079
0.345189 0.00274 140.356
0.345189 0.00275 143.225
0.345189 0.00276 146.386
0.345189 0.00277 149.638
0.345189 0.00278 152.955
0.345189 0.00279 156.488
0.352815 0.0023 154.154
0.352815 0.00231 152.052
0.352815 0.00232 151.124
0.352815 0.00233 151.143
0.352815 0.00234 151.642
0.352815 0.00235 151.978
0.352815 0.00236 151.442
0.352815 0.00237 149.385
0.352815 0.00238 145.345
0.352815 0.00239 139.134
0.352815 0.0024 130.88
0.352815 0.00241 121.007
0.352815 0.00242 110.156
0.352815 0.00243 99.076
0.352815 0.00244 88.4926
0.352815 0.00245 78.997
0.352815 0.00246 70.9665
0.352815 0.00247 64.5381
0.352815 0.00248 59.636
0.352815 0.00249 56.044
0.352815 0.0025 53.504
0.352815 0.00251 51.8141
0.352815 0.00252 50.9039
0.352815 0.00253 50.8648
0.352815 0.00254 51.93
0.352815 0.00255 54.4052
0.352815 0.00256 58.5689
0.352815 0.00257 64.5643
0.352815 0.00258 72.3129
0.352815 0.00259 81.4709
0.352815 0.0026 91.4438
0.352815 0.00261 101.461
0.352815 0.00262 110.692
0.352815 0.00263 118.393
0.352815 0.00264 124.034
0.352815 0.00265 127.392
0.352815 0.00266 128.588
0.352815 0.00267 128.056
0.352815 0.00268 126.446
0.352815 0.00269 124.493
0.352815 0.0027 122.881
0.352815 0.00271 122.115
0.352815 0.00272 122.458
0.352815 0.00273 123.914
0.352815 0.00274 126.28
0.352815 0.00275 129.242
0.352815 0.00276 132.488
0.352815 0.00277 135.812
0.352815 0.00278 139.183
0.352815 0.00279 142.757
0.36144 0.0023 141.647
0.36144 0.00231 139.443
0.36144 0.00232 138.437
0.36144 0.00233 138.405
0.36144 0.00234 138.879
0.36144 0.00235 139.208
0.36144 0.00236 138.674
0.36144 0.00237 136.62
0.36144 0.00238 132.574
0.36144 0.00239 126.346
0.36144 0.0024 118.066
0.36144 0.00241 108.162
0.36144 0.00242 97.2846
0.36144 0.00243 86.1911
0.36144 0.00244 75.6164
0.36144 0.00245 66.1564
0.36144 0.00246 58.1893
0.36144 0.00247 51.848
0.36144 0.00248 47.0489
0.36144 0.00249 43.5658
0.36144 0.0025 41.13
0.36144 0.00251 39.5319
0.36144 0.00252 38.6964
0.36144 0.00253 38.7152
0.36144 0.00254 39.8257
0.36144 0.00255 42.341
0.36144 0.00256 46.5477
0.36144 0.00257 52.5962
0.36144 0.00258 60.4118
0.36144 0.00259 69.6499
0.36144 0.0026 79.7111
0.36144 0.00261 89.8158
0.36144 0.00262 99.1251
0.36144 0.00263 106.885
0.36144 0.00264 112.558
0.36144 0.00265 115.921
0.36144 0.00266 117.101
0.36144 0.00267 116.539
0.36144 0.00268 114.895
0.36144 0.00269 112.92
0.36144 0.0027 111.304
0.36144 0.00271 110.562
0.36144 0.00272 110.955
0.36144 0.00273 112.483
0.36144 0.00274 114.935
0.36144 0.00275 117.987
0.36144 0.00276 121.316
0.36144 0.00277 124.709
0.36144 0.00278 128.133
0.36144 0.00279 131.745
0.369144 0.0023 131.537
0.369144 0.00231 129.237
0.369144 0.00232 128.158
0.369144 0.00233 128.079
0.369144 0.00234 128.529
0.369144 0.00235 128.852
0.369144 0.00236 128.322
0.369144 0.00237 126.271
0.369144 0.00238 122.221
0.369144 0.00239 115.98
0.369144 0.0024 107.678
0.369144 0.00241 97.7477
0.369144 0.00242 86.8479
0.369144 0.00243 75.7449
0.369144 0.00244 65.1816
0.369144 0.00245 55.7587
0.369144 0.00246 47.8549
0.369144 0.00247 41.5995
0.369144 0.00248 36.9012
0.369144 0.00249 33.5241
0.369144 0.0025 31.1901
0.369144 0.00251 29.6814
0.369144 0.00252 28.9188
0.369144 0.00253 28.9942
0.369144 0.00254 30.149
0.369144 0.00255 32.7033
0.369144 0.00256 36.9514
0.369144 0.00257 43.0504
0.369144 0.00258 50.9294
0.369144 0.00259 60.2433
0.369144 0.0026 70.388
0.369144 0.00261 80.5758
0.369144 0.00262 89.9586
0.369144 0.00263 97.773
0.369144 0.00264 103.477
0.369144 0.00265 106.847
0.369144 0.00266 108.011
0.369144 0.00267 107.419
0.369144 0.00268 105.745
0.369144 0.00269 103.749
0.369144 0.0027 102.131
0.369144 0.00271 101.412
0.369144 0.00272 101.854
0.369144 0.00273 103.452
0.369144 0.00274 105.987
0.369144 0.00275 109.125
0.369144 0.00276 112.533
0.369144 0.00277 115.994
0.369144 0.00278 119.469
0.369144 0.00279 123.119
0.376881 0.0023 123.522
0.376881 0.00231 121.13
0.376881 0.00232 119.982
0.376881 0.00233 119.859
0.376881 0.00234 120.287
0.376881 0.00235 120.607
0.376881 0.00236 120.081
0.376881 0.00237 118.034
0.376881 0.00238 113.984
0.376881 0.00239 107.732
