SqT23 DM31 DCP X2
0.305 0.002 0.0 155.76945619989246
0.32166666666666666 0.002 0.0 101.5122199740478
0.3383333333333333 0.002 0.0 62.58349781048534
0.355 0.002 0.0 36.100167956975106
0.37166666666666665 0.002 0.0 19.394310059480564
0.3883333333333333 0.002 0.0 10.019634181335261
0.405 0.002 0.0 5.831085200924527
0.42166666666666663 0.002 0.0 4.995362721580176
0.43833333333333335 0.002 0.0 5.957683602467006
0.45499999999999996 0.002 0.0 7.483136784657394
0.4716666666666667 0.002 0.0 8.66116721331421
0.4883333333333333 0.002 0.0 8.917490965983447
0.505 0.002 0.0 8.018009095582714
0.5216666666666667 0.002 0.0 6.068570940965969
0.5383333333333333 0.002 0.0 3.5097001454774075
0.5549999999999999 0.002 0.0 1.1096375783956463
0.5716666666666667 0.002 0.0 0.0
0.5883333333333334 0.002 0.0 1.6383227437151267
0.605 0.002 0.0 7.814418041396365
0.6216666666666666 0.002 0.0 20.69616357754162
0.6383333333333333 0.002 0.0 42.4874480785871
0.655 0.002 0.0 75.98970012827132
0.6716666666666666 0.002 0.0 124.12893515236838
0.6883333333333332 0.002 0.0 190.1221310176248
0.705 0.002 0.0 277.54577747211914
