Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization_Below1GeV FluxNormalization_Above1GeV X2 
0.304 0.022 0.43833333333333335 7.42e-05 0.0024000000000000002 4.014 normal 1.0 1.0025304258668561 19.603275668974984
0.304 0.022 0.43833333333333335 7.42e-05 0.0027 4.014 normal 1.0 1.0046707155415324 43.13831454026903
0.304 0.022 0.43833333333333335 7.42e-05 0.00265 4.014 normal 1.0 1.0045842225793802 28.361657962342274
0.304 0.022 0.43833333333333335 7.42e-05 0.00255 4.014 normal 0.9999999999987551 1.0041447217598833 7.565153602351403
0.304 0.022 0.43833333333333335 7.42e-05 0.0026 4.014 normal 0.9999999999992427 1.0044716397636293 16.058379118286915
0.304 0.022 0.43833333333333335 7.42e-05 0.0025 4.014 normal 0.9999999997343129 1.0035743094386145 4.5452501548823045
0.304 0.022 0.43833333333333335 7.42e-05 0.00245 4.014 normal 0.999999999998432 1.0029683987799873 8.273901595212735
0.304 0.022 0.45499999999999996 7.42e-05 0.00205 4.014 normal 1.0 1.0008824168159074 184.1453022558697
0.304 0.022 0.45499999999999996 7.42e-05 0.002 4.014 normal 1.0 1.0006273703224065 224.85605618346375
0.304 0.022 0.43833333333333335 7.42e-05 0.0029000000000000002 4.014 normal 1.0 1.0059073786646557 113.72968678411765
0.304 0.022 0.43833333333333335 7.42e-05 0.00285 4.014 normal 1.0 1.0056266575165491 94.90540871258135
0.304 0.022 0.43833333333333335 7.42e-05 0.00295 4.014 normal 1.0 1.0061215966940216 133.1818728654366
0.304 0.022 0.45499999999999996 7.42e-05 0.0021 4.014 normal 1.0 1.0013608242947778 149.06884494963214
0.304 0.022 0.43833333333333335 7.42e-05 0.003 4.014 normal 1.0 1.0062815084725911 153.8822605256937
0.304 0.022 0.43833333333333335 7.42e-05 0.0028 4.014 normal 1.0 1.0052784481564467 77.13262730230362
0.304 0.022 0.45499999999999996 7.42e-05 0.0023 4.014 normal 1.0 1.0031074304118617 55.49524095184339
0.304 0.022 0.45499999999999996 7.42e-05 0.0022 4.014 normal 0.9999999990005234 1.0027601133634003 98.15391555263385
0.304 0.022 0.45499999999999996 7.42e-05 0.0022500000000000003 4.014 normal 1.0 1.0030229565172586 76.48133520433531
0.304 0.022 0.45499999999999996 7.42e-05 0.0024000000000000002 4.014 normal 0.9999999989567409 1.0033558323254654 19.72984909310975
0.304 0.022 0.45499999999999996 7.42e-05 0.00215 4.014 normal 1.0 1.0021290441187871 121.21282509269574
0.304 0.022 0.45499999999999996 7.42e-05 0.00235 4.014 normal 1.0 1.0031754061689588 36.51521704576362
0.304 0.022 0.45499999999999996 7.42e-05 0.0025 4.014 normal 0.9999999999983467 1.004420380221073 4.830130604399231
0.304 0.022 0.45499999999999996 7.42e-05 0.00245 4.014 normal 1.0 1.0038089206965375 8.451135299008683
0.304 0.022 0.45499999999999996 7.42e-05 0.0027 4.014 normal 1.0 1.005550026130523 43.790972267036246
0.304 0.022 0.45499999999999996 7.42e-05 0.0029000000000000002 4.014 normal 1.0 1.0067992644801826 115.11962036844498
0.304 0.022 0.45499999999999996 7.42e-05 0.00275 4.014 normal 0.9999999999969629 1.0057972859298885 60.55111037876995
0.304 0.022 0.45499999999999996 7.42e-05 0.00285 4.014 normal 1.0 1.0065157219546088 96.1226266605456
0.304 0.022 0.45499999999999996 7.42e-05 0.0028 4.014 normal 1.0 1.0061647667431333 78.1499541488459
0.304 0.022 0.45499999999999996 7.42e-05 0.00255 4.014 normal 0.9999999999983451 1.0049939309882674 7.997585351480776
0.304 0.022 0.45499999999999996 7.42e-05 0.00265 4.014 normal 1.0 1.0054509324718712 28.93840794411142
0.304 0.022 0.45499999999999996 7.42e-05 0.0026 4.014 normal 1.0 1.0053341380918772 16.589973980020392
0.304 0.022 0.4716666666666667 7.42e-05 0.002 4.014 normal 1.0 1.0010700654887597 225.8656513123071
0.304 0.022 0.4716666666666667 7.42e-05 0.00215 4.014 normal 1.0 1.0025669773217887 121.76739239972672
0.304 0.022 0.4716666666666667 7.42e-05 0.00205 4.014 normal 1.0 1.00124105792072 184.86934607170096
0.304 0.022 0.4716666666666667 7.42e-05 0.0022500000000000003 4.014 normal 1.0 1.003470340756325 76.9523841555234
0.304 0.022 0.4716666666666667 7.42e-05 0.0021 4.014 normal 1.0 1.0017904061740555 149.6627993362891
0.304 0.022 0.45499999999999996 7.42e-05 0.00295 4.014 normal 1.0 1.00701597524903 134.7025615321778
0.304 0.022 0.45499999999999996 7.42e-05 0.003 4.014 normal 1.0 1.0071859953008921 155.56295383915997
0.304 0.022 0.4716666666666667 7.42e-05 0.0022 4.014 normal 1.0 1.0032054289736552 98.72862226964432
0.304 0.022 0.4716666666666667 7.42e-05 0.0024000000000000002 4.014 normal 1.0 1.0038220429741636 19.818417790346473
0.304 0.022 0.4716666666666667 7.42e-05 0.00235 4.014 normal 1.0 1.003635024766391 36.685262277153775
0.304 0.022 0.4716666666666667 7.42e-05 0.0023 4.014 normal 1.0 1.0035599767258725 55.80354013063666
0.304 0.022 0.4716666666666667 7.42e-05 0.00255 4.014 normal 1.0 1.0054733668221174 8.34316433615165
0.304 0.022 0.4716666666666667 7.42e-05 0.0026 4.014 normal 1.0 1.0058248085136265 17.000110447712444
0.304 0.022 0.4716666666666667 7.42e-05 0.0025 4.014 normal 0.9999999993582606 1.0048993612503745 5.0536750311023155
0.304 0.022 0.4716666666666667 7.42e-05 0.00245 4.014 normal 0.9999999999983763 1.0042787894374594 8.564638972882545
0.304 0.022 0.4716666666666667 7.42e-05 0.00265 4.014 normal 0.9999999999984815 1.0059449553714783 29.372747034499714
0.304 0.022 0.4716666666666667 7.42e-05 0.00285 4.014 normal 1.0 1.0070295864284184 96.99467238753043
0.304 0.022 0.4883333333333333 7.42e-05 0.002 4.014 normal 1.0 1.001053876507776 225.9073436882032
0.304 0.022 0.4716666666666667 7.42e-05 0.00275 4.014 normal 1.0 1.0062998496301867 61.12462151011483
0.304 0.022 0.4716666666666667 7.42e-05 0.0029000000000000002 4.014 normal 1.0 1.0073148117160118 116.09496110414963
0.304 0.022 0.4716666666666667 7.42e-05 0.00295 4.014 normal 1.0 1.0075346052643888 135.767966454736
0.304 0.022 0.4716666666666667 7.42e-05 0.0028 4.014 normal 1.0 1.0066736577015212 78.82462698053462
0.304 0.022 0.4716666666666667 7.42e-05 0.0027 4.014 normal 1.0 1.006045151668412 44.276702212950134
0.304 0.022 0.4716666666666667 7.42e-05 0.003 4.014 normal 1.0 1.0077158982948067 156.78686640555196
0.304 0.022 0.4883333333333333 7.42e-05 0.00215 4.014 normal 1.0 1.0026402002527226 121.6315449995702
0.304 0.022 0.4883333333333333 7.42e-05 0.0022500000000000003 4.014 normal 1.0 1.0035538668827086 76.8104573998725
0.304 0.022 0.4883333333333333 7.42e-05 0.0023 4.014 normal 0.9999999999965357 1.0036484556484977 55.595156219144975
0.304 0.022 0.4883333333333333 7.42e-05 0.0024000000000000002 4.014 normal 1.0 1.0039286786999042 19.555420479614437
0.304 0.022 0.4883333333333333 7.42e-05 0.00205 4.014 normal 1.0 1.0013022764776527 184.79222574338843
0.304 0.022 0.4883333333333333 7.42e-05 0.00235 4.014 normal 1.0 1.0037304729561827 36.43400210740291
0.304 0.022 0.4883333333333333 7.42e-05 0.0021 4.014 normal 1.0 1.0018569017819938 149.53936085174965
0.304 0.022 0.4883333333333333 7.42e-05 0.0022 4.014 normal 1.0 1.0032879907630388 98.59483290431983
0.304 0.022 0.4883333333333333 7.42e-05 0.0027 4.014 normal 1.0 1.0061717640781755 44.285297254889166
0.304 0.022 0.4883333333333333 7.42e-05 0.0028 4.014 normal 1.0 1.006808115458369 78.91723148678864
