DM	X2
0.002   223.403
0.00204167   189.554
0.00208333   158.636
0.002125   131.941
0.00216667   110.047
0.00220833   91.2376
0.00225   73.4281
0.00229167   56.3753
0.00233333   40.3522
0.002375   25.6605
0.00241667   13.0672
0.00245833   4.33539
0.0025   0.325416
0.00254167   0.949696
0.00258333   5.89123
0.002625   14.07
0.00266667   24.7266
0.00270833   36.9972
0.00275   50.3685
0.00279167   63.9079
0.00283333   77.396
0.002875   92.0102
0.00291667   107.794
0.00295833   124.615
