Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering X2 
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 0.0 inverted 75.0882338278899
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 4.71 normal 96.62895008990955
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 5.652 normal 108.11207994192976
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 5.338 inverted 99.15231489337813
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 5.966 normal 111.85638838686059
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 1.57 normal 72.12770776142226
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 5.024 normal 99.94387197487428
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 5.338 normal 103.91209170445966
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 0.942 inverted 73.18246544895744
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 5.652 inverted 101.24870710474487
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 5.024 inverted 97.43269833093198
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 0.314 normal 83.1143414179267
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 6.28 normal 114.38508946709777
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 1.57 inverted 68.76046883703216
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 0.628 normal 82.1338434292671
0.304 0.022 0.32166666666666666 7.42e-05 0.0025 6.28 inverted 104.65664239972568
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 0.314 inverted 75.48080656640558
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 1.256 inverted 71.00784666798326
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 0.942 normal 79.59678635330512
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 1.256 normal 76.03968436981228
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 0.0 normal 82.3688280375396
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 4.082 normal 64.49416396472292
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 1.884 normal 68.51178973709584
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 2.198 inverted 65.79415480784725
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 1.884 inverted 66.91560134213712
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 2.512 inverted 65.45368533801935
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 4.082 inverted 67.8326829265465
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 2.512 normal 63.7929482413731
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 3.14 inverted 66.37755943576697
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 2.826 normal 62.86208484293863
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 3.14 normal 62.66839970176147
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 4.71 normal 67.63019524870157
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 2.826 inverted 65.75811620472538
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 5.024 inverted 69.11456920076313
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 4.396 normal 65.78081936771218
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 2.198 normal 65.66672296848182
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 5.024 normal 70.172095730335
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 3.454 normal 62.97321951998422
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 3.768 normal 63.59878364465972
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 3.768 inverted 67.5588773053561
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 3.454 inverted 67.06935666124754
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 5.338 inverted 70.40236521130497
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 4.396 inverted 68.01636121604922
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 5.338 normal 73.35880009497315
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 4.71 inverted 68.36135589456967
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 6.28 inverted 75.07698611855854
0.304 0.022 0.355 7.42e-05 0.0025 2.198 normal 44.462366932901524
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 5.652 inverted 72.0820946186855
0.304 0.022 0.355 7.42e-05 0.0025 0.0 inverted 53.18073447192729
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 6.28 normal 82.35117360155945
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 5.966 inverted 73.8037495674841
0.304 0.022 0.355 7.42e-05 0.0025 0.314 normal 58.979368774844446
0.304 0.022 0.355 7.42e-05 0.0025 0.628 normal 58.26166781647876
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 5.966 normal 80.08639780872893
0.304 0.022 0.355 7.42e-05 0.0025 0.942 normal 56.17429882748538
0.304 0.022 0.355 7.42e-05 0.0025 1.57 normal 49.86007906318562
0.304 0.022 0.355 7.42e-05 0.0025 2.512 inverted 45.226596484993145
0.304 0.022 0.3383333333333333 7.42e-05 0.0025 5.652 normal 76.86360281268526
