Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization_Below1GeV FluxNormalization_Above1GeV FluxTilt NuNuBarRatio FlavorRatio ZenithFluxUp ZenithFluxDown SKEnergyScale FCPCSeparation FCReduction FiducialVolume PCReduction SubGeV2ringPi0 SubGeV1ringPi0 MultiRing_NuNuBarSeparation MultiRing_EOtherSeparation PC_StopThruSeparation Pi0_RingSeparation E_RingSeparation Mu_RingSeparation SingleRing_PID MultiRing_PID DecayETagging SKIV_SKEnergyScale SKIV_FCPCSeparation SKIV_FiducialVolume SKIV_FCReduction SKIV_PCReduction SKIV_SubGeV2ringPi0 SKIV_SubGeV1ringPi0 SKIV_MultiRing_NuNuBarSeparation SKIV_MultiRing_EOtherSeparation SKIV_PC_StopThruSeparation SKIV_Pi0_RingSeparation SKIV_E_RingSeparation SKIV_Mu_RingSeparation SKIV_SingleRing_PID SKIV_MultiRing_PID SKIV_DecayETagging SKIV_NeutronTagging XSecNuTau NCoverCC NCHad DIS CCQE CCQENuBarNu CCQEMuE CC1Pi_Pi0Pi CC1Pi_NuBarNuE CC1Pi_NuBarNuMu CC1PiProduction CohPiProduction AxialMass X2 
0.304 0.022 0.41026315789473683 7.42e-05 0.00215 4.36 normal 1.0109560716680153 1.0092537027126338 -0.0028186192239312963 0.9994967213078256 0.9917391587371623 0.03394995655830449 0.015082077109832167 1.0 0.9988363947742773 0.9999565799181435 0.9993929464205185 1.0012197852426614 1.0007639717117789 1.0001556028656533 1.0000215219055677 1.0012526236063335 1.0013071691618995 1.0001709609192004 0.9992467973582136 0.9999459755682301 0.9998548453587128 0.9998339296905883 0.9967294968528122 1.0 0.999995735210388 0.9998237854534086 0.999624946435392 1.0002611001640747 1.0024860491775869 0.9997067075647592 1.000345318757606 0.9977067444802316 1.0003234748489733 0.9998019932584988 0.9989792350181156 0.9993422690507365 0.999910323613295 1.0000204259782768 0.9978927109402771 0.99925958608314 0.9455399172106989 1.0017902071350049 0.9992872160611664 1.0027344908632327 1.0011737441001483 0.9853351476290151 1.011156764918775 0.9944061616947718 0.98445493471119 1.0010982520468656 1.0042537587003524 0.9933642737318614 0.994820253264723 2.8299093131442175
0.304 0.022 0.41026315789473683 7.42e-05 0.0021 4.36 normal 1.0142847366784398 1.010664940865728 -0.002340164563481759 0.9993612312873906 0.9911683343739874 0.03709133437308646 0.022861399913386548 1.0 0.9989300393294444 1.0000192959829797 0.9992915425751743 1.0012438155557615 1.0017969999019298 0.9998522866354342 1.0000840261127943 1.0011736356802332 1.0016986993372452 1.0001027304106969 0.9995212835449468 0.9999094397472885 0.9998322429583906 0.9997787731488088 0.9965277735067085 1.0 0.9999995784128893 0.9999513040775826 0.9996381812358123 1.0003541820190143 1.0013756119664812 0.9993440785533908 1.000432900640804 0.9975087671343701 1.0007616763118319 0.9998014927828357 0.9991107064873427 0.9993146262030657 0.9998957258953216 1.0000150566084225 0.997593904038792 0.9991956227313256 0.9368786320755871 1.0009670713356102 0.9991490921548973 1.0032876360912282 1.0010593154059826 0.983424156785007 1.0133856815770161 0.9989036571787061 0.9848820291096587 0.998430403619049 1.0041814794841168 0.9971661550812603 0.9944680380271238 3.5022425018586327
0.304 0.022 0.41026315789473683 7.42e-05 0.00205 4.36 normal 1.0175648585633983 1.0119987880310106 -0.0022078822222113947 0.9991886115298084 0.9902105582345538 0.040098477327176044 0.02842538367277282 1.0 0.9990145733861081 0.9999217879932609 0.9991737980901976 1.0014121227319626 1.0031203713238044 1.001320673772652 1.0000668905399934 1.0011371239587965 1.001332635935662 1.000174562592578 0.9994779424056826 0.9998526902915096 0.9998592806276635 0.9997437227899879 0.9967675539189227 1.0 0.9999985301806117 0.999941454107784 0.9994115026935664 1.0004027077202358 1.0000412092047573 0.9998163207049078 1.000455186599192 0.9976678351207011 1.0012264689109471 1.0000418307077859 0.9991065857178489 0.999287388041954 0.9999260593473149 1.0000074227977807 0.9976613818358118 0.9988721785692823 0.9288531558635159 1.0006769136251954 0.9989480851583238 1.0041627015188521 1.001160375420538 0.9831092323267906 1.0155164565329649 1.0021991741630305 0.9845563919863751 0.9967966246445208 1.0033939270789196 1.0019489071427126 0.9940481080824074 4.379676699797458
0.304 0.022 0.41026315789473683 7.42e-05 0.002 4.36 normal 1.0203240963624882 1.013197038292698 -0.001973932726348163 0.9991957555469492 0.9899233745460099 0.04255175297419594 0.032982063549394966 1.0 0.9989696022337877 1.0000337343334171 0.9993101825521319 1.0014526757813098 1.0036037055100493 1.0018005200041329 0.9999473091520884 1.0010699538549013 1.0009918002161369 1.0002202009415708 0.9990645046687194 0.99973928226827 0.9998758846887322 0.9997748871322006 0.9970201934839794 1.0 1.0000015728687273 0.9998776413753317 0.9992394729056466 1.0003021007962316 0.9993797556089478 1.0000436227869833 1.0004139104056233 0.997990228893404 1.0018675041781286 1.000186920796548 0.9991729935706669 0.999395932650082 0.9999218569352246 0.9999809382474456 0.9980509684050876 0.9988663081896159 0.9226215055638541 1.0005058675765213 0.9980002702103099 1.005088674841407 1.000442942135429 0.9844939620392547 1.0164359402534302 1.0017175896322168 0.9837743485530127 0.9979711325774722 1.0034818959241418 1.0068207052729075 0.9926525256254615 5.224657624230952
0.304 0.022 0.41026315789473683 7.42e-05 0.0022500000000000003 4.36 normal 1.0086866568225643 1.0119656395913985 -0.004639257260413582 0.9998386785820791 0.9942267204489342 0.04099823092700659 0.013195676208559229 1.0 0.9975743686074429 0.9999602889653146 1.0000425560710644 0.9992074996206768 0.9994163885884144 0.9970816374069453 1.001000476903955 0.9975221614113536 1.0004173522496873 0.9999198044273738 0.9984285329235045 1.0004547110781126 0.9997227379373207 0.9999435150520019 0.996345472423703 1.0 0.9999996817279786 0.9991532699067021 0.9990700287047567 1.000388958912276 1.0020960827821253 0.9977550030407081 0.9997290683660472 0.9971686388767836 0.9979465107042065 1.0002169754419157 0.9977890221663225 1.0010683479534972 0.9998306480209371 1.0000217656440464 0.9971629238558591 0.9991205022248786 0.930939707929117 0.998461564096985 0.998451476061051 1.0006583917534708 0.9961998916014269 0.9864742315779773 1.0059631582204849 0.9934555561042238 0.9884934347933166 0.9966973032130291 0.9999809838126845 0.9948959687614346 0.9958758970762303 2.346388365576272
0.304 0.022 0.41026315789473683 7.42e-05 0.0022 4.36 normal 1.0062018786098401 1.0095228213876708 -0.004197718235532517 1.0003046147982748 0.9938119187528457 0.029119510719633066 0.004953438075012679 1.0 0.9977885875127903 0.999968756730003 1.0009204209797957 1.0012014202349304 0.9978060777178083 0.9973095564264769 1.0004546689573002 1.0006463069721014 0.9987189152560333 1.0001279236108715 0.9997027428985465 1.0014552310271438 0.9998090720515335 0.9996528051246267 0.9994601348674592 1.0 0.9999992884522189 1.0004349813733742 0.9994658325257361 0.9998079245491586 1.0017286652968185 0.9963745075452313 1.0003158435405224 0.9971853420900665 0.9967778100877089 1.000072515099466 0.9997881208243727 1.0000955203038258 0.9998001630687452 0.9998901563930817 1.0012381744414802 0.9995975832939855 0.9361683918601689 0.9990363157867873 1.0002141346975342 1.002707336938357 0.9967862363924737 0.9922691058247546 1.0042347616262737 0.9880487006457918 0.9927481389336369 0.9970639158871912 0.9950653293545322 0.9923867786290727 0.9985276836000258 2.4317026495269216
0.304 0.022 0.41026315789473683 7.42e-05 0.00235 4.36 normal 1.0083809477317887 1.0091550922353079 -0.0021519675801498785 1.0001279251810902 0.9934492395826057 0.022742287171261814 -0.010872658430771072 1.0 0.9991872505030378 0.999944366853059 0.9997990513153153 1.000531180434516 0.9995198708627773 0.999496960678029 1.0002413150236102 1.0001869904614762 0.9981577449776846 0.9999519717090442 1.0001836040698044 1.0005651851401725 0.9999003023372968 0.9997996460008375 0.9992208498929251 1.0 0.9999995285875924 1.0001162361743612 0.9996838568356313 1.0001342319702944 1.000401442201517 0.9991915696110598 1.0002802949588567 0.999521668622205 0.9975549226142822 1.000076111526026 0.9999627909525035 0.9999799853978982 0.9999286352414429 0.9999157946066904 1.0004253209681013 0.9995459910098285 0.9372881823080663 0.9979539934715399 0.9983309474449271 1.0008858354856751 0.9986304225309635 0.9929151784909638 1.0018519018671856 0.9949151677046324 0.9904658935601411 1.0001105805815493 0.9954237423630722 0.9927597379692321 0.9974939482008494 1.144823947484397
0.304 0.022 0.41026315789473683 7.42e-05 0.0023 4.36 normal 1.0072511268375848 1.0091127960237052 -0.0031099681704644866 1.0001553832223458 0.9935192623154657 0.022191828976015245 -0.007677672917578156 1.0 0.9983516713853025 1.0000499027298795 1.0002292341113064 1.0008877385340875 0.998073175993363 0.9987413901863527 1.000343549088613 1.0002608219947413 0.997238665292262 0.9999630398529464 0.9997911196237884 1.0009436237666798 0.9998429223195957 0.9997937690777402 0.9994400012183874 1.0 0.9999995323103237 1.0002782198563283 0.9996060512294856 1.000254073184454 1.0025704044733406 0.9981047793057327 1.0002025529320773 0.9986690987357871 0.997320588743294 1.0000085735909496 0.9997823156252125 1.0001123985057312 0.9998734835280366 0.9999347759497443 1.0011500668355324 0.9997193468773499 0.9360535530976902 0.9991428688986789 0.9989229058617075 1.0014065609264133 0.9971365257613238 0.9932819368448694 1.000874720401285 0.9951549690286671 0.9910185997394136 1.0002140521894873 0.9941913782677865 0.998753161479569 0.9974357212312955 1.6225222067068559
0.304 0.022 0.41026315789473683 7.42e-05 0.0024000000000000002 4.36 normal 1.006347554448328 1.0090354142184434 -0.002726789977297202 1.0002016568069192 0.9940355790986805 0.022557171664650485 -0.007482091008687065 1.0 0.9990423128475054 0.9999498399894785 1.000292002629111 1.0004206271949052 0.9979693072768333 0.9980167110417261 1.000135789473884 0.9997495001564003 0.9981436484539056 0.9999200703351472 1.0002106087870186 1.000732392230734 0.9999258745634272 0.9998130251175777 0.9992835351831709 1.0 0.9999986995634051 1.000135100146935 0.9996188099831776 1.0002442605462885 1.0017600943018894 0.9976994746030771 1.0000678666239615 0.9989949519266776 0.9979434246442399 0.999968172320795 1.0001026477685744 1.0000478718406782 0.9999329459123898 0.9998709856280076 1.0002805155940442 0.9996914628713909 0.9370165950610313 0.9979742441394046 0.9980552543256499 1.000635507283572 0.9974627473509847 0.9933428497469772 1.000462325786055 0.9940469540225306 0.9914421788092234 1.0000777392404732 0.9942052986541594 0.9978221880836712 0.9977697616345851 0.6783418319120467
0.304 0.022 0.41026315789473683 7.42e-05 0.00245 4.36 normal 1.0049163849350435 1.0092468991291996 -0.002994194408321729 1.0000900188313009 0.9941990793300338 0.021527621518598335 -0.009591474502782383 1.0 0.9991237955927158 0.9999773471544255 1.0001339209379652 1.000260999714877 0.9989110075314157 0.9965001232179733 0.9998436002706288 0.997377256239291 0.9997963654831454 0.9996882554741537 0.999567520527783 0.9998649980984762 0.9999844808552306 0.9999592413989593 0.9998600156369859 1.0 0.9999998317981295 0.999909118017311 0.9995093721500112 1.0002594956247504 1.000893316921223 0.9975437608747029 0.9998927670320951 0.9990743545159638 0.9989182857215845 1.0002648611183647 0.9990646754751792 1.0000311926039054 0.9999807812543124 0.9999827022565417 0.9993991853377296 0.9996183714137741 0.9396653725611357 0.9969718834725535 0.9975901802383053 1.0003485458742734 0.9978193447766106 0.9941098099910313 0.9993755816815544 0.9927168003648026 0.9918915420852961 1.0007767936420453 0.9946078688397451 0.9953063457674419 0.9983603358417583 1.274221597773477
